metric,Q1_2026,Q1_2025,Q4_2025,comment
revenue_usd_m,2078,982,1572,"Q1 revenue +112% YoY and +32% QoQ."
operating_expenses_usd_m,2222,1009,1661,"Operating expense growth outpaced revenue growth YoY."
operating_income_loss_usd_m,-144,-27,-89,"GAAP operating loss widened despite revenue scale."
operating_margin_pct,-7,-3,-6,"Margin pressure reflects deployment costs before full revenue ramp."
interest_expense_net_usd_m,-536,-264,-388,"Interest burden rose materially; key thesis risk."
net_income_loss_usd_m,-740,-315,-452,"GAAP net loss widened YoY and QoQ."
net_loss_margin_pct,-36,-32,-29,"Loss margin worsened versus Q4 and prior year."
adjusted_ebitda_usd_m,1157,606,898,"Underlying EBITDA remains strong."
adjusted_ebitda_margin_pct,56,62,57,"Still high, but below prior year."
adjusted_operating_income_usd_m,21,163,88,"Adjusted operating income nearly compressed to breakeven."
adjusted_operating_margin_pct,1,17,6,"Main quality issue in the quarter."
adjusted_net_income_loss_usd_m,-589,-150,-284,"Adjusted net loss widened sharply."
revenue_backlog_usd_b,99.4,25.9,66.8,"Backlog +284% YoY and +49% QoQ."
cash_and_cash_equivalents_usd_m,2244,,3127,"Cash declined QoQ; restricted cash not included."
accounts_receivable_net_usd_m,2120,,3169,"AR declined QoQ and supported operating cash flow."
property_and_equipment_net_usd_m,36424,,30557,"Asset base continues to scale aggressively."
total_assets_usd_m,55573,,49302,"Balance sheet expansion is capex-led."
debt_current_usd_m,7547,,6708,"Current debt rose QoQ."
debt_noncurrent_usd_m,17312,,14665,"Non-current debt rose QoQ."
total_debt_usd_m,24859,,21373,"Debt load is central to equity risk."
operating_cash_flow_usd_m,2984,61,,"Strong OCF, helped by working-capital inflows and deferred revenue."
purchase_of_property_and_equipment_usd_m,-7695,-1407,,"Cash capex intensity remains very high."
net_cash_used_in_investing_usd_m,-7708,-1433,,"Investment cash burn far exceeds OCF."
net_cash_provided_by_financing_usd_m,3914,1854,,"Funding stack continues to support growth."
active_power,">1 GW",,">850 MW","Capacity crossed 1 GW in Q1."
contracted_power,">3.5 GW",,"~3.1 GW","Contracted power rose by more than 400 MW QoQ."
