methodology_topic,search_date,query_family,query_text,language_or_circle,source_bucket,target_pattern,result_quality,next_step,notes
market-briefing-loop,2026-06-10,artifact,Schwab Market Update daily market update,en,institutional,daily_market_brief,high,extract,"Schwab describes a market update as start-of-day information: market news, stocks to watch, and what is ahead."
market-briefing-loop,2026-06-10,artifact,Schwab weekly trader outlook market review upcoming week,en,institutional,weekly_market_review,high,extract,"Schwab weekly outlook combines prior-week review, technical context, catalysts and next-week questions."
market-briefing-loop,2026-06-10,artifact,J.P. Morgan weekly market recap economic update,en,institutional,weekly_market_review,high,extract,"J.P. Morgan Asset Management describes weekly updates as snapshots of market/economic changes and investor implications."
market-briefing-loop,2026-06-10,artifact,BlackRock weekly market commentary,en,institutional,weekly_market_review,high,extract,"BlackRock Investment Institute maintains recurring weekly market commentary with market take, portfolio context and disclaimers."
market-briefing-loop,2026-06-10,artifact,Morningstar what's happening in markets this week economic calendar earnings,en,institutional,weekly_calendar,medium,extract,"Morningstar weekly planner emphasizes dated macro releases and company earnings calendar."
market-briefing-loop,2026-06-10,artifact,UBS daily outlook markets investments,en,institutional,daily_market_brief,medium,extract,"UBS House View Daily is positioned as daily coverage of significant market events and investment opportunities."
market-briefing-loop,2026-06-10,artifact,Fidelity weekly market update capital markets strategy,en,institutional,weekly_market_review,medium,extract,"Fidelity weekly updates cover recent market trends, economic developments and factors shaping investment decisions."
market-briefing-loop,2026-06-10,contradiction,market daily note failure modes stale price market commentary,en,first_principles,failure_mode,medium,encode,"Main failure mode is narrative-fitting stale or price-only moves; solve with live-data gate, attribution quality and escalation boundaries."
market-briefing-loop,2026-06-10,artifact,券商晨会纪要 结构 宏观要闻 评级变化 重点推荐,zh,institutional,daily_market_brief,high,extract,"Public 晨会纪要 PDF copies (Guosen, Donghai, Caixin via Eastmoney/Sina) share a stable spine: market performance, sentiment (limit-up/down counts, seal rate), margin balance, macro comments, industry/company quick takes, conviction picks and rating changes."
market-briefing-loop,2026-06-10,artifact,A�?盘后复盘 涨停板梯�?连板 情绪周期 北向资金 两融 龙虎�?zh,practitioner,market_close_wrap,high,encode,"Practitioner A-share close review centers on limit-up replay, consecutive-board ladder, leader promotion, sentiment cycle stages (冰点/复苏/高潮/退�?, margin and dragon-tiger list; encoded as sentiment-structure inputs for A-share close wrap."
market-briefing-loop,2026-06-10,methodology,Valentine best practices equity research morning call consensus,en,practitioner,escalation_quality,high,encode,"Valentine FaVeS: every stock call needs an out-of-consensus view in Forecast, Valuation or Sentiment; encoded as expectation-delta discipline for escalation queue entries."
market-briefing-loop,2026-06-10,artifact,Bridgewater Daily Observations institutional daily note,en,institutional,daily_market_brief,medium,extract,"BDO is the benchmark institutional daily macro note (the wire), real-time processing of economies/markets for clients and policymakers; structure known from public descriptions only."
market-briefing-loop,2026-06-10,artifact,Goldman Sachs prime brokerage weekly hedge fund positioning,en,institutional,risk_positioning_watch,medium,extract,"GS Prime Services weekly tracks net leverage percentile, fundamental L/S ratio and sector flows; only reachable as dated media citations (Reuters), not reproducible from free sources."
market-briefing-loop,2026-06-10,artifact,Nomura McElligott CTA positioning dealer gamma daily cross-asset,en,institutional,risk_positioning_watch,medium,extract,"Desk-level daily cross-asset note built on CTA trigger levels, dealer gamma regime and vol dynamics; documented via media transcripts; enters briefs only as secondary citation with publish time."
market-briefing-loop,2026-06-10,methodology,buy-side asset manager morning meeting overnight news holdings,en,practitioner,workflow,medium,encode,"Buy-side morning meeting pattern: overnight news mapped to holdings/Buy-rated names, analyst quick take, recommended action; encoded as so-what-for-book ordering and action discipline."
market-briefing-loop,2026-06-10,contradiction,northbound flow disclosure limits A-share data availability,zh,first_principles,data_constraint,medium,encode,"Northbound real-time flow is no longer published intraday; only after-close aggregate turnover. Briefs must use disclosed-after-close wording and avoid citing real-time northbound numbers."
