source_id,claim_area,claim_type,claim_text,source_speaker,verification_status,authority_level,source_date,as_of_date,url_or_path,used_by_agent,used_by_skill,confidence,upstream_sources,notes,evidence_category,freshness_status,conflict_status,treatment,readiness_impact
proshares_buyb_product_2026_05_09,buyb_product_terms,reported_metric,"ProShares BUYB product page was used for BUYB inception date, net assets, fee, index and holdings.",company,verified,L1,2026-05-09,2026-05-09,https://www.proshares.com/our-etfs/strategic/buyb,research-orchestrator,etf-listing-analysis,high,not_applicable,Issuer product page; refresh before live use.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
proshares_buyb_launch_2026_05_07,buyb_launch_context,fact,ProShares launch release confirmed BUYB strategy and 10-year buyback criterion.,company,verified,L1,2026-05-07,2026-05-09,https://www.proshares.com/press-releases/proshares-launches-the-first-etf-targeting-companies-with-a-sustained-history-of-share-buybacks,research-orchestrator,etf-listing-analysis,high,not_applicable,Issuer launch confirmation.,verified_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
etfcom_buyb_2026_05_07,buyb_theme_context,interpretation,ETF.com BUYB launch article was used for comparison against PKW and category framing.,media,claimed,L4,2026-05-07,2026-05-09,https://www.etf.com/sections/features/proshares-launches-first-etf-targeting-buyback-aristocrats,research-orchestrator,etf-listing-analysis,medium,proshares_buyb_product_2026_05_09,Secondary context only.,inference,acceptable_for_period,not_checked,sensitize,supports_working_view
barrons_buyb_2026_05_07,buyb_market_context,opinion,Barron's buyback ETF article was used for dividend-yield and buyback capital-return context.,media,claimed,L4,2026-05-07,2026-05-09,https://www.barrons.com/articles/dividend-yields-stock-buybacks-etf-1458371d,research-orchestrator,etf-listing-analysis,medium,not_applicable,May require subscription; secondary context only.,inference,acceptable_for_period,not_checked,attribute,supports_working_view
cboe_euv_listing_2026_05_09,euv_listing_confirmation,fact,Cboe EUV listed product page confirmed EUV ticker listing date and product theme description.,exchange,verified,L2,2026-05-09,2026-05-09,https://www.cboe.com/us/equities/listings/listed_products/symbols/EUV/,research-orchestrator,etf-listing-analysis,high,not_applicable,Primary exchange listing source.,verified_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
cboe_joul_listing_2026_05_09,joul_listing_confirmation,fact,Cboe JOUL listed product page confirmed JOUL ticker listing date and product theme description.,exchange,verified,L2,2026-05-09,2026-05-09,https://www.cboe.com/us/equities/listings/listed_products/symbols/JOUL/,research-orchestrator,etf-listing-analysis,high,not_applicable,Primary exchange listing source.,verified_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
corgi_28_thematic_launch_2026_05_06,corgi_launch_context,fact,"Corgi release confirmed 28 actively managed thematic ETF launches on Cboe BZX, including EUV and JOUL.",company,verified,L1,2026-05-06,2026-05-09,https://www.prnewswire.com/news-releases/corgi-launches-28-actively-managed-thematic-etfs-on-cboe-bzx-302763988.html,research-orchestrator,etf-listing-analysis,high,not_applicable,Issuer launch confirmation.,verified_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
etfcom_corgi_launch_2026_05_06,corgi_theme_context,interpretation,ETF.com Corgi launch analysis was used for batch-launch context and analyst framing of EUV.,media,claimed,L4,2026-05-06,2026-05-09,https://www.etf.com/sections/features/corgi-launches-34-etfs-raises-160m-single-day,research-orchestrator,etf-listing-analysis,medium,corgi_28_thematic_launch_2026_05_06,Secondary context only.,inference,acceptable_for_period,not_checked,sensitize,supports_working_view
stockanalysis_euv_2026_05_09,euv_market_snapshot,market_pricing,StockAnalysis EUV page was used for early trading context and secondary fee check.,market,estimated,L5,2026-05-09,2026-05-09,https://stockanalysis.com/etf/euv/,research-orchestrator,etf-listing-analysis,medium,not_applicable,Market data snapshot; refresh before live use.,market_pricing,acceptable_for_period,none,monitor,supports_working_view
stockanalysis_joul_2026_05_09,joul_market_snapshot,market_pricing,StockAnalysis JOUL page was used for early trading context and secondary fee check.,market,estimated,L5,2026-05-09,2026-05-09,https://stockanalysis.com/etf/joul/,research-orchestrator,etf-listing-analysis,medium,not_applicable,Market data snapshot; refresh before live use.,market_pricing,acceptable_for_period,none,monitor,supports_working_view
