method_name,review_date,validation_mode,case_or_scope,result,what_worked,what_failed,keep_change_or_retire,notes
consumer_decision_journey_lens,2026-05-30,methodology_design,consumer_and_brand_equities,provisional_positive,"Forces demand formation, channel touchpoints, switching and loyalty to be explicit.",Can become marketing narration if not tied to volume price retention and margin variables.,keep_under_trial,"Use as `consumer_demand`; require affordability and substitution checks."
jobs_to_be_done_product_lens,2026-05-30,methodology_design,product_led_equities,provisional_positive,"Separates true customer problem from feature count and TAM story.",Hard to validate with public evidence unless usage retention or customer evidence exists.,keep_under_trial,"Use as `product_reality`; pair with product discovery risk decomposition."
product_discovery_risk_lens,2026-05-30,methodology_design,software_platform_consumer_tech,provisional_positive,"Breaks product thesis into value usability feasibility and business viability risks.",Less useful for mature commodity or regulated utility-like businesses.,keep_under_trial,"Use selectively when product adoption is central to long-term thesis."
industry_competitive_structure_lens,2026-05-30,methodology_design,industry_and_single_equity_research,positive,"Provides stable industry boundary, profit pool and competitive force structure.",Can become static if it misses technology shifts or customer migration.,keep_under_trial,"Use as `industry_structure`; include industry life cycle and profit-pool migration."
roic_capital_allocation_lens,2026-05-30,methodology_design,long_term_company_quality,positive,"Converts company quality into ROIC spread, reinvestment runway and capital allocation variables.",May underweight early-stage companies where accounting returns are not yet representative.,keep_under_trial,"Use as core of `company_execution`; adapt for micro/small survival and dilution."
valuation_expectations_bridge,2026-05-30,methodology_design,long_term_equity_opportunity,positive,"Prevents confusing a good company with a good investment by reverse-engineering price-implied expectations.",Requires imperfect market expectation proxies and can create false precision.,keep_under_trial,"Make mandatory for any investable long-term thesis."
macro_transmission_lens,2026-05-30,methodology_design,macro_sensitive_equities_and_themes,mixed,"Forces interest rates, inflation, credit, fiscal demand and liquidity into asset transmission chains.",Often too broad unless tied to revenue margin financing discount-rate or positioning variables.,keep_under_trial,"Use as `macro_economy`; set macro_weight context/secondary/primary."
bcg_growth_share_portfolio_lens,2026-05-30,methodology_design,portfolio_and_business_unit_context,mixed,"Useful for market-share and cash-generation intuition.",Too coarse and dated for standalone public equity thesis.,keep_selectively,"Use only as supporting lens for business mix and reinvestment allocation."
institutional_research_process_prior,2026-05-30,methodology_design,research_workflow_design,mixed,"Supports long-horizon evidence culture and analyst specialization.",Public sources rarely reveal enough execution detail to become workflow.,keep_as_context,"Use to justify discipline, not as method card core."
asia_chinese_practitioner_prior,2026-05-30,methodology_design,research_workflow_design,partial_positive,"Adds public Asian/Chinese practitioner support for long-term research, emerging-trend work, top-down industry research, bottom-up stock selection and grassroots evidence.",Sources are public and broad; private buyside execution detail remains opaque.,keep_as_context,"Use to improve G01 source breadth, but keep G01 below pass_external until reviewer accepts sufficiency."
