company_name,ticker,market,value_chain_position,public_or_private,exposure_purity,competitive_edge,key_customers_or_suppliers,key_metric_to_monitor,pricing_power,volume_visibility,margin_capture,stock_proxy_quality,why_it_matters,notes
NVIDIA,NVDA,US,roadmap_owner_and_system_integrator,public,low_for_bottleneck_proxy,"Controls AI networking roadmap and validates CPO timing","TSMC; Coherent; Lumentum; Corning; hyperscalers","Spectrum-X / Quantum-X Photonics deployment and attach rate",high,high,high,weak_as_bottleneck_proxy,"Roadmap anchor rather than upstream bottleneck proxy","Use as demand owner and source anchor, not as a pure CPO bottleneck stock."
TSMC,TSM,US_ADR,foundry_and_COUPE_packaging_platform,public,low-medium,"COUPE package-level optical engine platform and advanced packaging ecosystem","NVIDIA; leading AI semiconductor customers","COUPE production timing customer qualifications yield commentary",high,medium,high,usable_but_diversified,"Strategically central to package integration but not pure","Company-level thesis would need broader foundry and valuation work."
Coherent,COHR,US,external_lasers_optical_components_and_advanced_manufacturing,public,high,"Named NVIDIA strategic partner with capacity commitment and optics depth","NVIDIA and datacom/cloud customers","AI datacom/CPO laser backlog revenue gross margin capex utilization",medium-high,medium-high,medium-high,strong,"Best first company handoff for laser-source bottleneck","Needs separation of CPO-specific value capture from broader optical cycle."
Lumentum,LITE,US,laser_sources_and_datacom_photonics,public,high,"NVIDIA demo participation and InP/laser-source relevance","NVIDIA and datacom/cloud customers","Datacom laser revenue CPO/ELS language margins customer concentration",medium-high,medium,medium,strong,"Direct external laser source proxy","Need materiality check versus total company revenue and telecom weakness."
Veeco,VECO,US,InP_laser_manufacturing_equipment,public,medium,"Equipment supplier into InP laser manufacturing capacity expansion","Laser manufacturers serving AI/CPO markets","InP equipment orders backlog shipments customer concentration",medium,medium-high,medium,usable,"Picks-and-shovels proxy for laser manufacturing bottleneck","Watch whether orders convert and whether customers are concentrated."
AXT,AXTI,US,InP_and_compound_semiconductor_substrates,public,medium-high_but_high_risk,"Upstream InP substrate exposure including AI connectivity and silicon photonics relevance","Optical device manufacturers; China-based production ecosystem","InP substrate revenue 6-inch progress export controls margins liquidity",medium,medium,medium,usable_high_risk,"Potential next-layer substrate proxy after laser manufacturing","Requires strict diligence on geography export controls profitability and balance sheet."
Corning,GLW,US,optical_fiber_and_connectivity,public,medium,"Named NVIDIA partnership to scale optical connectivity manufacturing","NVIDIA; cloud/data-center customers","Optical communications growth AI data-center mix capacity expansion margin",medium,high,medium,usable,"Proxy for optical connectivity scale-out rather than laser bottleneck","Less pure but supported by explicit manufacturing expansion."
Amphenol,APH,US,connectors_and_interconnects,public,low-medium,"Broad connector and interconnect scale","Cloud data center and industrial customers","High-speed interconnect revenue AI data-center mix",medium,high,medium,weak_to_usable,"Possible connector scale proxy","Needs direct CPO/fiber attach evidence before upgrade."
Sivers Semiconductors,SIVE,Sweden,laser_arrays_and_silicon_photonics_related_components,public,medium,"Partnerships with private silicon-photonics ecosystem participants","Ayar Labs and other silicon-photonics customers","Revenue conversion design wins cash runway",medium,low-medium,low-medium,watch_only,"Interesting ecosystem signal but not US-liquid proxy","Small/non-US and requires liquidity/financial survivability check."
Ayar Labs,private,private,silicon_photonics_chiplet_and_light_source_ecosystem,private,high,"TeraPHY optical I/O and SuperNova light source ecosystem","NVIDIA ecosystem; Sivers and other partners","Customer deployments manufacturing scale funding",high,medium,high,not_public,"Useful for technical validation and private read-through","Not directly investable through public equity."
