field,value,evidence_status,workflow_interpretation,would_trigger_downgrade
patient_demand,large obesity and diabetes demand; product revenue already commercial-scale,partial,"Demand is real but this case does not independently size the addressable patient pool.",no
prescriber_demand,source_gap,source_gap,"Need prescription/channel or physician adoption evidence before external sharing.",partial
clinical_evidence,Mounjaro/Zepbound commercial products and FDA-verified Foundayo approval/label,verified,"Clinical and regulatory evidence is strong enough for internal publication, while safety and adherence still need monitoring.",no
regulatory_status,FDA announced Foundayo approval and FDA label confirms obesity/overweight indication,regulator_verified,"Regulatory source gap is closed; maintain safety and label-monitoring refresh triggers.",no
payer_coverage,"Lilly announced all three largest US PBMs will cover its obesity portfolio; CVS independently confirmed Foundayo block removal on 2026-06-01 and Zepbound preferred-option return on 2026-10-01",partial_verified,"Access evidence improved materially, but all-PBM claim and plan-level adoption still need independent confirmation.",partial
employer_or_government_reimbursement,"CMS Medicare GLP-1 Bridge begins 2026-07-01 for eligible Part D beneficiaries and includes Foundayo and Zepbound KwikPen; China NRDL affected Mounjaro realized prices outside the US",verified,"Government reimbursement can expand volume while pressuring realized price and adding prior authorization friction.",yes
cash_pay_price,Zepbound lower realized prices included previously announced cash-pay price reductions,partial,"Cash-pay price changes are a key demand and margin variable.",yes
gross_to_net_or_realized_price_trend,Q1 2026 revenue had 65% volume growth offset by 13% lower realized-price effect,verified,"Net price pressure is already visible and must be a core thesis variable.",yes
prior_authorization_or_access_friction,CMS GLP-1 Bridge eligibility requires prior authorization criteria; commercial plan approval still varies by plan,verified,"Access expansion is not the same as frictionless access; authorization should remain a stop-rule variable.",partial
adherence_or_persistence,source_gap,source_gap,"Chronic therapy value depends on persistence beyond initial uptake.",partial
competitive_formulary_risk,Novo Nordisk is direct GLP-1 peer; other oral/next-gen drugs may affect formulary positioning,partial,"Competition matters through payer bargaining and product differentiation.",partial
policy_or_regulatory_risk,CMS Bridge and FDA label create official policy/regulatory anchors,verified,"Policy direction currently supports access, but program implementation and safety label changes remain refresh triggers.",partial
