source_id,claim_area,claim_type,claim_text,source_speaker,verification_status,authority_level,source_date,as_of_date,url_or_path,used_by_agent,used_by_skill,confidence,upstream_sources,notes,evidence_category,freshness_status,conflict_status,treatment,readiness_impact
lly_q1_2026_ex99,financials,reported_metric,"Lilly reported Q1 2026 revenue of $19.799 billion, up 56% year over year.",company,disclosed,L1,2026-04-30,2026-03-31,https://www.sec.gov/Archives/edgar/data/59478/000005947826000043/q126lillysalesandearningsp.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Official earnings release furnished as SEC 8-K Exhibit 99.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
lly_q1_2026_ex99,price_volume,reported_metric,"Q1 2026 worldwide revenue growth was driven by 65% volume growth, partially offset by a 13% lower realized-price effect.",company,disclosed,L1,2026-04-30,2026-03-31,https://www.sec.gov/Archives/edgar/data/59478/000005947826000043/q126lillysalesandearningsp.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Key payer/access and net-price evidence.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
lly_q1_2026_ex99,product_revenue,reported_metric,"Mounjaro Q1 2026 revenue was $8.662 billion, up 125% year over year.",company,disclosed,L1,2026-04-30,2026-03-31,https://www.sec.gov/Archives/edgar/data/59478/000005947826000043/q126lillysalesandearningsp.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Direct GLP-1 value-capture evidence.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
lly_q1_2026_ex99,product_revenue,reported_metric,"Zepbound Q1 2026 revenue was $4.160 billion, up 80% year over year.",company,disclosed,L1,2026-04-30,2026-03-31,https://www.sec.gov/Archives/edgar/data/59478/000005947826000043/q126lillysalesandearningsp.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Direct GLP-1 obesity-product evidence.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
lly_q1_2026_ex99,product_revenue,reported_metric,"Key Products revenue grew to $13.4 billion in Q1 2026, led by Mounjaro and Zepbound.",company,disclosed,L1,2026-04-30,2026-03-31,https://www.sec.gov/Archives/edgar/data/59478/000005947826000043/q126lillysalesandearningsp.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Shows GLP-1 concentration inside growth engine.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
lly_q1_2026_ex99,margin,reported_metric,"Q1 2026 gross margin was $16.2 billion and 81.9% of revenue, down 0.6 percentage points year over year, primarily due to lower realized prices.",company,disclosed,L1,2026-04-30,2026-03-31,https://www.sec.gov/Archives/edgar/data/59478/000005947826000043/q126lillysalesandearningsp.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Pricing pressure is visible even with strong growth.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
lly_q1_2026_ex99,guidance,guidance,Lilly raised 2026 revenue guidance to $82.0-$85.0 billion and non-GAAP EPS guidance to $35.50-$37.00.,company,disclosed,L1,2026-04-30,2026-04-30,https://www.sec.gov/Archives/edgar/data/59478/000005947826000043/q126lillysalesandearningsp.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Company guidance midpoint used in expectation map.,management_guidance,acceptable_for_period,none,attribute,supports_working_view
lly_q1_2026_ex99,product_regulatory,company_claim,Lilly said U.S. FDA approved Foundayo (orforglipron) for adults with obesity or overweight with weight-related medical problems.,company,claimed,L1,2026-04-30,2026-04-30,https://www.sec.gov/Archives/edgar/data/59478/000005947826000043/q126lillysalesandearningsp.htm,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Company regulatory claim; should be backed by FDA source before external publication.,company_statement,acceptable_for_period,not_checked,attribute,supports_working_view
stockanalysis_lly_stats,valuation,market_pricing,"StockAnalysis showed LLY closing at $1,105.00 on May 29 2026 with market cap of $985.37 billion, enterprise value of $1.02 trillion, forward P/E of 29.72x, EV/Sales of 14.16x and EV/FCF of 86.53x.",market,disclosed,L4,2026-05-30,2026-05-29,https://stockanalysis.com/stocks/lly/statistics/,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Third-party market data; refresh before live investment use.,market_pricing,acceptable_for_period,none,monitor,supports_working_view
stockanalysis_lly_forecast,valuation,forecast,"StockAnalysis/Finnhub showed FY2026 revenue estimate of $86.26 billion, FY2027 revenue estimate of $100.11 billion, FY2026 EPS estimate of $36.98 and FY2027 EPS estimate of $45.12.",market,disclosed,L4,2026-05-30,2026-05-29,https://stockanalysis.com/stocks/lly/forecast/,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Consensus source; EPS may be non-GAAP.,assumption,acceptable_for_period,none,sensitize,supports_working_view
