source_id,claim_area,claim_type,claim_text,source_speaker,verification_status,authority_level,source_date,as_of_date,url_or_path,used_by_agent,used_by_skill,confidence,upstream_sources,notes,evidence_category,freshness_status,conflict_status,treatment,readiness_impact
crm_q1fy27_8k_ex991,financials,fact,"Salesforce reported Q1 FY2027 revenue of $11.133 billion, up 13% year over year and 12% in constant currency, including $444 million Informatica contribution.",company,disclosed,L1,2026-05-27,2026-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000125/crm-q1fy27xexhibit991.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Company earnings release furnished with SEC 8-K.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
crm_q1fy27_8k_ex991,rpo,reported_metric,"Salesforce reported current remaining performance obligation of $33.6 billion, up 14% year over year and 13% in constant currency.",company,disclosed,L1,2026-05-27,2026-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000125/crm-q1fy27xexhibit991.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,"Useful for near-term revenue visibility, but impacted by seasonality, contract terms, FX and acquisitions.",reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
crm_q1fy27_8k_ex991,product_evidence,reported_metric,"Salesforce disclosed Agentforce and Data 360 ARR of nearly $3.4 billion, including $1.2 billion Agentforce ARR up 205% year over year and $1.1 billion Informatica Cloud ARR.",company,disclosed,L1,2026-05-27,2026-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000125/crm-q1fy27xexhibit991.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Key paid-deployment/product monetization evidence; includes acquired Informatica contribution.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
crm_q1fy27_8k_ex991,product_usage,reported_metric,"Salesforce disclosed 3.8 billion Agentic Work Units delivered to date across Agentforce and Slack, growing 111% quarter over quarter.",company,disclosed,L1,2026-05-27,2026-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000125/crm-q1fy27xexhibit991.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Usage evidence; needs monetization and retention linkage.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
crm_q1fy27_8k_ex991,product_usage,reported_metric,"Salesforce disclosed more than 28.6 trillion tokens processed to date, up 152% quarter over quarter.",company,disclosed,L1,2026-05-27,2026-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000125/crm-q1fy27xexhibit991.htm,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Usage scale evidence; token volume alone is not business value.,reported_fact,acceptable_for_period,none,use_normally,supports_working_view
crm_q1fy27_8k_ex991,product_bookings,reported_metric,Bookings from Agentforce One Edition and Agentforce for Apps grew nearly 60% year over year.,company,disclosed,L1,2026-05-27,2026-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000125/crm-q1fy27xexhibit991.htm,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,"Bookings growth supports expansion, but absolute dollars and retention are not disclosed in this line.",reported_fact,acceptable_for_period,none,use_normally,supports_working_view
crm_q1fy27_8k_ex991,product_adoption,reported_metric,Salesforce disclosed that more than 50% of Agentforce and Data 360 bookings came from existing customers in Q1 FY2027.,company,disclosed,L1,2026-05-27,2026-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000125/crm-q1fy27xexhibit991.htm,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Supports cross-sell into installed base; still needs net expansion/retention evidence.,reported_fact,acceptable_for_period,none,use_normally,supports_working_view
crm_q1fy27_8k_ex991,data_360_usage,reported_metric,"Data 360 ingested 52 trillion records in Q1 FY2027, up 136% year over year, including 35 trillion via Zero Copy, up 277% year over year.",company,disclosed,L1,2026-05-27,2026-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000125/crm-q1fy27xexhibit991.htm,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Usage evidence for data layer; needs revenue and customer retention linkage.,reported_fact,acceptable_for_period,none,use_normally,supports_working_view
crm_q1fy27_8k_ex991,slack_mcp,reported_metric,Salesforce disclosed Slack MCP surpassed 1 million active users within six weeks of launch.,company,disclosed,L1,2026-05-27,2026-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000125/crm-q1fy27xexhibit991.htm,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Adoption evidence but not directly monetization evidence.,reported_fact,acceptable_for_period,none,use_normally,supports_working_view
crm_q1fy27_8k_ex991,guidance,guidance,"Salesforce raised FY2027 revenue guidance midpoint to $46.05 billion, implying about 11% year-over-year growth and about 3 points of Informatica contribution.",company,disclosed,L1,2026-05-27,2026-05-27,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000125/crm-q1fy27xexhibit991.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Company guidance; highlights gap between product metrics and total company growth acceleration.,management_guidance,acceptable_for_period,none,attribute,supports_working_view
crm_q1fy27_8k_ex991,guidance,guidance,Salesforce guided FY2027 non-GAAP diluted EPS to $14.06-$14.12 and GAAP diluted EPS to $7.93-$7.99.,company,disclosed,L1,2026-05-27,2026-05-27,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000125/crm-q1fy27xexhibit991.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Valuation anchor.,management_guidance,acceptable_for_period,none,attribute,supports_working_view
crm_q1fy27_8k_ex991,capital_allocation,fact,Salesforce entered into a $25 billion accelerated share repurchase with upfront delivery of 103 million shares and final settlement expected in Q3 FY2027.,company,disclosed,L1,2026-05-27,2026-05-27,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000125/crm-q1fy27xexhibit991.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Capital allocation and share-count distortion are important for EPS and valuation.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
crm_q1fy27_10q,balance_sheet,reported_metric,"Salesforce reported noncurrent debt of $39.280 billion and cash and cash equivalents of $8.935 billion at April 30, 2026.",company,disclosed,L1,2026-05-28,2026-04-30,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000127/crm-20260430.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Debt increased after the ASR financing; affects EV and capital allocation interpretation.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
stooq_crm_quote,market_pricing,market_pricing,Stooq showed CRM closing at $191.10 on 2026-05-29.,market,disclosed,L4,2026-05-29,2026-05-29,https://stooq.com/q/l/?s=crm.us&i=d,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Market quote source; refresh before live use.,market_pricing,acceptable_for_period,none,monitor,supports_working_view
sec_companyfacts_crm_shares,capitalization,reported_metric,"SEC companyfacts showed 819 million CRM shares outstanding at May 21, 2026.",regulator,verified,L1,2026-05-28,2026-05-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0001108524.json,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Share count reflects large ASR impact and should be reconciled with diluted shares used in guidance.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
Prophetis_crm_market_cap,valuation,derived_calculation,"Using $191.10 per share and 819 million shares, CRM's approximate equity market capitalization was $156.5 billion.",Prophetis,modeled,L6,2026-05-30,2026-05-29,case-local calculation,research-orchestrator,long-term-integrated-thesis,medium,stooq_crm_quote|sec_companyfacts_crm_shares,Formula: 191.10 * 819m. Share count affected by ASR; use with caution.,estimate,acceptable_for_period,none,sensitize,supports_working_view
Prophetis_crm_adjusted_pe,valuation,derived_calculation,"Using $191.10 per share and FY2027 non-GAAP EPS guidance midpoint of $14.09, CRM traded at approximately 13.6x FY2027 non-GAAP EPS guidance.",Prophetis,modeled,L6,2026-05-30,2026-05-29,case-local calculation,research-orchestrator,long-term-integrated-thesis,medium,stooq_crm_quote|crm_q1fy27_8k_ex991,Formula: 191.10 / ((14.06+14.12)/2).,estimate,acceptable_for_period,none,sensitize,supports_working_view
Prophetis_crm_gaap_pe,valuation,derived_calculation,"Using $191.10 per share and FY2027 GAAP EPS guidance midpoint of $7.96, CRM traded at approximately 24.0x FY2027 GAAP EPS guidance.",Prophetis,modeled,L6,2026-05-30,2026-05-29,case-local calculation,research-orchestrator,long-term-integrated-thesis,medium,stooq_crm_quote|crm_q1fy27_8k_ex991,Formula: 191.10 / ((7.93+7.99)/2).,estimate,acceptable_for_period,none,sensitize,supports_working_view
stockanalysis_crm_forecast,valuation,forecast,"StockAnalysis/Finnhub showed CRM FY2027 revenue estimate of $46.59B and EPS estimate of $13.32, and FY2028 revenue estimate of $51.01B and EPS estimate of $14.98.",market,disclosed,L4,2026-05-30,2026-05-29,https://stockanalysis.com/stocks/crm/forecast/,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Forecast data sourced by StockAnalysis from Finnhub / Wall Street analysts; EPS definition may be non-GAAP.,assumption,acceptable_for_period,none,sensitize,supports_working_view
stockanalysis_crm_stats,valuation,market_pricing,"StockAnalysis showed CRM market cap of $156.51B, enterprise value of $187.22B, forward P/E of 13.74x, P/FCF of 10.68x, EV/Sales of 4.37x and EV/FCF of 12.77x.",market,disclosed,L4,2026-05-30,2026-05-29,https://stockanalysis.com/stocks/crm/statistics/,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Third-party market data; reconcile before live investment use.,market_pricing,acceptable_for_period,none,monitor,supports_working_view
crm_fy2026_10k_fcf,free_cash_flow,reported_metric,"Salesforce FY2026 10-K reported FY2026 operating cash flow of $14.996B and capital expenditures of $594M, implying free cash flow of $14.402B.",company,disclosed,L1,2026-03-02,2026-01-31,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Used with FY2027 FCF growth guide to model FY2027 FCF; not external consensus.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
Prophetis_crm_fy2027_fcf_model,free_cash_flow,derived_calculation,"Using FY2026 FCF of $14.402B and Salesforce FY2027 FCF growth guidance midpoint of 4.5%, modeled FY2027 FCF is approximately $15.05B.",Prophetis,modeled,L6,2026-05-30,2026-05-30,case-local calculation,research-orchestrator,long-term-integrated-thesis,medium,crm_fy2026_10k_fcf|crm_q1fy27_8k_ex991,Formula: 14.402B * 1.045. This is not consensus FCF.,estimate,acceptable_for_period,none,sensitize,supports_working_view
stockanalysis_peer_multiples,valuation,market_pricing,"StockAnalysis showed selected peer multiples: NOW forward P/E 28.68x, EV/Sales 8.80x and EV/FCF 26.50x; ADBE forward P/E 10.76x, EV/Sales 4.28x and EV/FCF 10.13x; ORCL forward P/E 29.99x and EV/Sales 12.05x.",market,disclosed,L4,2026-05-30,2026-05-29,https://stockanalysis.com/stocks/now/statistics/ | https://stockanalysis.com/stocks/adbe/statistics/ | https://stockanalysis.com/stocks/orcl/statistics/,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,"Peer set is illustrative: NOW workflow software, ADBE mature creative/software, ORCL cloud/database infrastructure/software.",market_pricing,acceptable_for_period,none,monitor,supports_working_view
companiesmarketcap_crm_ps_history,valuation,market_pricing,"CompaniesMarketCap showed CRM year-end P/S ratios of 11.7x in 2021, 5.37x in 2022, 5.63x in 2023, 7.58x in 2024 and 6.15x in 2025.",market,disclosed,L4,2026-05-30,2025-12-31,https://companiesmarketcap.com/salesforce/ps-ratio/,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Used as rough historical P/S range; avoid relying on its current 2026 value because current-date snapshots can vary.,market_pricing,acceptable_for_period,none,monitor,supports_working_view
stockanalysis_crm_broader_peer_table,valuation,market_pricing,"A broader current peer table covering CRM, NOW, ADBE, ORCL, MSFT, SAP, INTU and PEGA showed peer forward P/E roughly 10.8x-30.0x, EV/Sales roughly 3.28x-12.05x and EV/FCF roughly 10.13x-46.52x where meaningful.",market,disclosed,L4,2026-05-30,2026-05-29,cases/crm-2026-05-product-workflow-trial/peer-valuation-table.csv,research-orchestrator,long-term-integrated-thesis,medium,stockanalysis_crm_stats|stockanalysis_peer_multiples,Peer definitions are imperfect; ORCL EV/FCF is n/a because current FCF is negative.,market_pricing,acceptable_for_period,none,monitor,supports_working_view
companiesmarketcap_crm_pe_history,valuation,market_pricing,"CompaniesMarketCap showed CRM trailing P/E history including 22.7x in 2021, 141x in 2022, 14.7x in 2023 and 7.03x in 2024, illustrating why trailing P/E is too noisy to use as a clean forward valuation range.",market,disclosed,L4,2026-05-30,2024-12-31,https://companiesmarketcap.com/salesforce/pe-ratio/,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Historical P/E is useful context but not a substitute for historical forward P/E or EV/FCF series.,market_pricing,acceptable_for_period,none,monitor,supports_working_view
stockanalysis_crm_ratio_history,valuation,market_pricing,"StockAnalysis ratios history showed CRM forward P/E of 13.74 current, then 16.77x, 31.67x, 30.40x, 29.97x and 55.99x for FY2026-FY2022; EV/FCF of 12.77 current, then 14.18x, 26.18x, 28.51x, 26.26x and 44.07x for FY2026-FY2022; and EV/Sales of 4.37 current, then 4.92x, 8.59x, 7.77x, 5.29x and 8.79x for FY2026-FY2022.",market,disclosed,L4,2026-05-27,2026-05-29,https://stockanalysis.com/stocks/crm/financials/ratios/,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Closes the historical EV/FCF and forward P/E source gap for public-workflow purposes; definitions still require caution and FY2 FCF consensus remains unavailable.,market_pricing,acceptable_for_period,none,source_gap,blocks_actionability
marketscreener_crm_fcf_forecast,valuation,forecast,"MarketScreener's Salesforce financial forecasts page showed Cash Flow Forecast free cash flow of $14.910B for fiscal January 2027, $16.458B for fiscal January 2028 and $18.134B for fiscal January 2029.",market,disclosed,L4,2026-05-30,2026-05-29,https://www.marketscreener.com/quote/stock/SALESFORCE-INC-12180/finances/,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,"Public analyst-estimate proxy for FY2 FCF; use as forecast/estimate, not Prophetis-modeled value. Source definitions should be challenged by external reviewer.",assumption,acceptable_for_period,none,sensitize,supports_working_view
