method_name,review_date,validation_mode,case_or_scope,result,what_worked,what_failed,keep_change_or_retire,notes
options-flow-analysis,2026-06-03,methodology_design,initial_scope,not_validated,"Splits systematic options-flow analysis out of generic flow-intent inference and defines data-quality gates rational-prior-position enhancement assumptions classification states validation slices and false-positive controls","No user dataset schema or backtest output has been ingested yet; classification quality prior-thesis inference enhancement inference and lookahead-bias controls are unproven",keep_under_trial,"See memory/methodologies/options-flow-analysis.md, templates/options-flow-analysis-check.csv and templates/options-flow-data-quality-check.csv."
flow-intent-inference,2026-06-03,methodology_design,initial_scope,not_validated,"Defines a bounded overlay for inferring counterparty intent from visible flow while forcing mechanical-explanation checks and thesis-variable impact","No Prophetis case backtest yet; public flow data often lacks initiator side opening/closing tags hedge legs and true trader identity",keep_under_trial,"See memory/methodologies/flow-intent-inference.md, memory/methodologies/flow-intent-inference-search-log.csv and templates/flow-intent-inference-check.csv."
variant-perception,2026-04-22,live_case_trial,AAPL,mixed,Forced explicit consensus mapping across analyst targets price action and narrative,Edge looked thinner than the initial concept suggests without better positioning data,keep_under_trial,Useful mainly as a guardrail against fake differentiation on large-mega names.
variant-perception,2026-04-22,live_case_trial,HIMS,positive,Clarified that the real question is whether the market is over-anchored to GLP-1 and regulation risk,Still needs tighter separation between durable core business and temporary narrative support,keep_under_trial,More promising on mid-cap narrative-heavy names than on mega-cap compounders.
long-term-multibagger-research,2026-05-28,methodology_design,initial_scope,not_validated,Clarifies target return math evidence ladder dilution risk survivability and kill criteria before case work,No historical or live case validation yet,keep_under_trial,Next review should compare at least one historical winner one failed growth story and one live candidate against ordinary long_term_thesis research.
long-term-integrated-thesis,2026-05-30,methodology_design,external_method_scan,not_validated,"Integrates consumer demand product reality macro economy industry structure company execution and valuation expectations into one long-term thesis map","No live case or historical backtest yet; Chinese-language and private buyside source coverage remain incomplete",keep_under_trial,"Initial package: cases/long-term-methodology-2026-05-30/. Next review should test at least one mega-cap platform one consumer/product-led mid-cap one failed growth story and one macro-sensitive company."
long-term-integrated-thesis,2026-05-30,direction_level_live_trial,"AI power infrastructure; enterprise AI agents; GLP-1 read-through; humanoid robotics",mixed,"Exposed useful workflow gaps before single-stock work: theme-to-company handoff product evidence ladder valuation guardrails and market heat versus thesis maturity","Still not public-grade; no single-company trial or historical failure backtest yet",keep_under_trial,"Validation program: cases/long-term-workflow-validation-2026-05-30/. Apply patches before next trials."
long-term-integrated-thesis,2026-05-30,theme_to_company_handoff_trial,ai_power_and_data_center_infrastructure,positive_partial,"Forced node-specific handoff across electrical equipment cooling grid technology power generation and data-center operators; prevented blanket theme conclusion","Valuation expectations and consensus-implied assumptions still missing; not a full single-company trial",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/iteration-02-ai-power-handoff.md. Next full trial should use ETN or VRT."
long-term-integrated-thesis,2026-05-30,single_company_live_trial,ETN,positive_partial,"Changed likely conclusion from broad AI-power bullishness to watch_only_pending_expectation_map; exposed need for standard expectation map backlog quality and acquisition value-capture sub-lenses","Consensus FY2 valuation peer range and historical range still missing; no follow-through refresh yet",keep_under_trial,"See cases/etn-2026-05-long-term-workflow-trial/. Next compare against VRT or run enterprise AI product evidence ladder trial."
long-term-integrated-thesis,2026-05-30,single_company_contrast_trial,VRT,positive_partial,"Proved higher theme purity does not override expectation burden; added purity_vs_expectation_burden cash-flow quality and order/backlog disclosure-quality patches","Consensus FY2 valuation peer range transcript evidence and historical failure backtest still missing",keep_under_trial,"See cases/vrt-2026-05-long-term-workflow-trial/. Next trial should move to enterprise AI software monetization to stress product evidence ladder."
long-term-integrated-thesis,2026-05-30,product_reality_live_trial,CRM,positive_partial,"Separated real Agentforce ARR and usage evidence from unproven company-level organic acceleration; added product monetization map usage economic-link classification and capital-allocation distortion checks","No contrast product case and no historical failure backtest yet; customer-level retention/pricing/margin evidence missing",keep_under_trial,"See cases/crm-2026-05-product-workflow-trial/. Next highest-priority validation is historical failure backtest."
long-term-integrated-thesis,2026-05-30,historical_failure_backtest,TDOC_2020_2022,positive_partial,"Backtest indicates workflow would have downgraded TDOC before the 2022 impairment if pull-forward demand product monetization acquisition value-capture and valuation patches existed","Exact historical price consensus and archival source verification remain incomplete; only one failure backtest so far",keep_under_trial,"See cases/tdoc-2020-2022-failure-backtest/. Add pull_forward_vs_structural_demand and run a second failure backtest."
long-term-integrated-thesis,2026-05-30,historical_failure_backtest,PTON_2020_2022,positive_partial,"Backtest indicates workflow would have downgraded PTON by Q2 FY2022 by separating subscription retention from normalized hardware demand hardware gross margin inventory commitments and unit economics","Exact peak valuation consensus expectations transcript archive and category data remain incomplete",keep_under_trial,"See cases/pton-2020-2022-failure-backtest/. Add hardware_subscription_mix_check and move next to follow-through refresh plus complete expectation map."
long-term-integrated-thesis,2026-05-30,expectation_map_upgrade,CRM,positive_partial,"CRM expectation map now includes enterprise value FY2027/FY2028 revenue and EPS estimates modeled FY2027 FCF current EV/Sales EV/FCF peer multiples and historical P/S range","FY2028 FCF consensus full historical EV/FCF forward P/E series and broader peer comp table remain incomplete",keep_under_trial,"See cases/crm-2026-05-product-workflow-trial/expectation-map.csv and expectation-map-notes.md. Next gating item remains true follow-through refresh after Q2 FY27 or another material event."
long-term-integrated-thesis,2026-05-30,public_pack_candidate,workflow_pack,positive_partial,"Created a compressed candidate workflow pack with analyst-facing workflow fill guide source appendix and checklist","Not final external-grade until a follow-through refresh example and fresh analyst dry run prove reproducibility",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/public-workflow-pack/. This improves institutional readability but does not satisfy the full goal yet."
long-term-integrated-thesis,2026-05-30,fresh_case_dry_run,LLY_GLP1_2026,positive_partial,"Candidate public workflow pack was usable on a fresh non-AI healthcare case and changed conclusion from simple GLP-1 winner to watch_only_pending_payer_access_and_expectation_map_refresh","Initial dry run needed FDA source transcript payer/access evidence historical valuation range and FCF consensus before external sharing",keep_under_trial,"See cases/lly-2026-05-glp1-workflow-dry-run/. Add payer_access_and_net_price_check to public pack and methodology."
long-term-integrated-thesis,2026-05-30,source_gap_refresh,LLY_GLP1_2026,positive_partial,"Closed Foundayo FDA verification and partially closed payer/access evidence using FDA CVS CMS and Lilly sources; refreshed action label to watch_only_pending_expectation_map_and_realized_price_refresh","Not a full follow-through refresh because evidence is inside original cutoff window; still needs Q2 realized-price data plan-level payer evidence and FCF/historical valuation support",keep_under_trial,"See cases/lly-2026-05-glp1-workflow-dry-run/source-gap-refresh-2026-05-30.md. Add source_gap_refresh rule to public workflow pack."
long-term-integrated-thesis,2026-05-30,expectation_map_peer_upgrade,CRM,positive_partial,"Added broader CRM peer valuation table across CRM NOW ADBE ORCL MSFT SAP INTU and PEGA; clarified that CRM is not priced as a high-growth AI-agent winner","FY2028 FCF consensus and historical EV/FCF / forward P/E series remain source gaps so this is not final public-grade",keep_under_trial,"See cases/crm-2026-05-product-workflow-trial/peer-valuation-table.csv and valuation-source-audit.md. Next fill historical valuation series or pick a case with easier public consensus FCF availability."
long-term-integrated-thesis,2026-05-30,internal_reviewer_dry_run,public_workflow_pack,positive_partial,"Reviewer simulation found incomplete overlay/template coverage and stale decision labels; fixed README fill guide checklist and added backlog acquisition cash-flow and source-gap refresh templates","Not independent because same research thread performed the review; true external reviewer dry run still required",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/public-workflow-pack/reviewer-dry-run-2026-05-30.md."
long-term-integrated-thesis,2026-05-30,historical_source_cleanup,TDOC_PTON_2020_2022,positive_partial,"Added historical valuation reconstruction tables for TDOC and PTON with peak-price and market-cap source trails; reduced unsupported rough valuation claims","Exact peak EV consensus estimates and transcript archives remain missing so historical backtests are still not external-publication grade",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/historical-source-cleanup-2026-05-30.md plus TDOC/PTON historical-valuation-reconstruction.csv files."
long-term-integrated-thesis,2026-05-30,theme_value_capture_screen,humanoid_robotics_physical_ai,positive_partial,"Routed humanoid robotics to industry_map_first by separating direct private humanoid OEMs from public enablers and adjacent automation names; added theme-value-capture screen template","Needs archived Tesla/NVIDIA source package and a follow-up single-company enabler or automation case if value-capture node becomes clean",keep_under_trial,"See cases/humanoid-robotics-2026-05-value-capture-screen/. Use theme-value-capture-screen.csv before single-stock work on high-heat themes."
long-term-integrated-thesis,2026-05-30,ordinary_vs_workflow_comparison,validation_set,positive_partial,"Comparison across ETN VRT CRM LLY TDOC PTON and humanoid robotics shows workflow changed actionability downgrade timing or stock-selection readiness in every completed validation case","Comparison is internal and estimates ordinary research output rather than replaying archived ordinary Prophetis memos; external reviewer challenge still required",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/ordinary-vs-workflow-comparison.md and .csv. Add ordinary_vs_workflow_delta to public workflow review."
long-term-integrated-thesis,2026-05-30,expectation_map_data_availability_audit,CRM_ETN_VRT_LLY,positive_partial,"Audited expectation-map source gaps and added unavailable-data exception protocol so missing FY2 FCF or historical EV/FCF / forward P/E cannot be replaced with modeled false precision","Does not complete public-grade expectation map; CRM remains closest candidate but still needs FY2 FCF consensus historical EV/FCF forward P/E or independent reviewer acceptance of exception",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/expectation-map-data-availability-audit.md and .csv."
long-term-integrated-thesis,2026-05-30,external_reviewer_packet,public_workflow_pack,positive_partial,"Prepared external reviewer brief blank scorecard and blind-review assignment so an independent analyst can test reproducibility without chat/context handholding","Does not count as completed external review; still needs a real reviewer to return findings and release recommendation",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/public-workflow-pack/external-reviewer-brief.md, external-reviewer-scorecard.csv and blind-review-assignment.md."
long-term-integrated-thesis,2026-05-30,follow_through_refresh_playbook,validation_set,positive_partial,"Prepared follow-through trigger tracker playbook and refresh template; centralized ETN VRT CRM LLY humanoid triggers and chose CRM as preferred first true refresh candidate","Does not count as true follow-through because no later material event has been refreshed yet",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/follow-through-refresh-playbook.md, follow-through-trigger-tracker.csv and templates/follow-through-refresh.md."
long-term-integrated-thesis,2026-05-30,release_gate_tracker,public_release_candidate,positive_partial,"Created public release gate tracker release decision memo and handoff manifest; separated internal candidate readiness from external final release","External release remains blocked by true follow-through and external reviewer; G05 is internally cleared but source sufficiency must still be challenged under G06",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/public-release-gate-tracker.csv, public-release-decision.md and public-handoff-manifest.md."
long-term-integrated-thesis,2026-05-30,operational_loop_creation,long_term_thesis_loop,positive_partial,"Created loops/long-term-thesis-loop.md and routed multi-variable 3-5 year research to a formal operating loop","Loop remains candidate_internal_release; external use is blocked by true follow-through and external reviewer gates",keep_under_trial,"See loops/long-term-thesis-loop.md, loops/analysis-routing.md and cases/long-term-workflow-validation-2026-05-30/public-release-gate-tracker.csv."
long-term-integrated-thesis,2026-05-30,release_qa_validation,public_release_candidate,positive_partial,"Added scripts/validate_long_term_release.py and release QA report; validator confirms internal candidate consistency with zero errors and hard blockers G04 G06","This validates package consistency only; it does not complete true follow-through or external reviewer gates",keep_under_trial,"See scripts/validate_long_term_release.py and cases/long-term-workflow-validation-2026-05-30/release-qa-report-2026-05-30.md."
long-term-integrated-thesis,2026-05-30,g05_expectation_map_upgrade,CRM_2026,positive_partial,"Closed CRM historical EV/FCF and forward P/E source gap using StockAnalysis ratio history and upgraded G05 to partial_pass_historical_range_improved","FY2 FCF consensus remains unavailable; G05 is not cleared without a source or independent reviewer acceptance of the unavailable-data exception",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/g05-expectation-map-upgrade-2026-05-30.md and cases/crm-2026-05-product-workflow-trial/expectation-map.csv."
long-term-integrated-thesis,2026-05-30,g05_exception_review_packet,CRM_2026,positive_partial,"Prepared CRM unavailable-data exception packet source-attempt log and reviewer scorecard dimensions so G05 can be accepted or rejected independently","G05 is still not cleared because no independent reviewer has accepted the exception",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/g05-crm-unavailable-data-exception-review.md and g05-crm-source-attempts.csv."
long-term-integrated-thesis,2026-05-30,g05_fy2_fcf_source_upgrade,CRM_2026,positive,"Found MarketScreener FY2028 FCF forecast for CRM and updated expectation map evidence log source-attempt log and release gate tracker; G05 now clears for internal gate tracking","External release still blocked by G04 true follow-through and G06 independent reviewer; reviewer must challenge MarketScreener methodology",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/g05-fy2-fcf-source-upgrade-2026-05-30.md and cases/crm-2026-05-product-workflow-trial/expectation-map.csv."
long-term-integrated-thesis,2026-05-30,g06_external_review_handoff,public_workflow_pack,positive_partial,"Prepared G06 external review handoff results template intake checklist and validator checks for future completed reviewer evidence","G06 is still not cleared because no independent reviewer has returned the completed scorecard memo and intake checklist",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/g06-external-review-handoff-2026-05-30.md and public-workflow-pack/external-review-results-template.md."
long-term-integrated-thesis,2026-05-30,g04_follow_through_handoff,CRM_2026,positive_partial,"Prepared G04 follow-through handoff intake checklist and CRM assignment; validator now rejects completed G04 unless a later-event refresh proves qualification","G04 is still not cleared because no later material event has been refreshed",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/g04-follow-through-handoff-2026-05-30.md and crm-g04-follow-through-assignment.md."
