source_id,claim_area,claim_type,claim_text,source_speaker,verification_status,authority_level,source_date,as_of_date,url_or_path,used_by_agent,used_by_skill,confidence,upstream_sources,notes,evidence_category,freshness_status,conflict_status,treatment,readiness_impact
etn_2026q1_8k_ex99,financials,fact,"Eaton reported Q1 2026 sales of $7.451 billion, up 17% from Q1 2025.",company,disclosed,L1,2026-05-05,2026-03-31,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000010/etn03312026exhibit99.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Company earnings release furnished with SEC 8-K.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
etn_2026q1_8k_ex99,financials,reported_metric,"Eaton reported Q1 2026 organic sales growth of 10%, above its prior 5-7% guidance range.",company,disclosed,L1,2026-05-05,2026-03-31,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000010/etn03312026exhibit99.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Useful for demand strength but still one-quarter evidence.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
etn_2026q1_8k_ex99,guidance,guidance,Eaton raised FY2026 organic growth guidance to 9-11% and adjusted EPS guidance to $13.05-$13.50.,company,disclosed,L1,2026-05-05,2026-05-05,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000010/etn03312026exhibit99.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Formal company guidance; not yet realized.,management_guidance,acceptable_for_period,none,attribute,supports_working_view
etn_2026q1_8k_ex99,electrical_americas,reported_metric,"Electrical Americas Q1 2026 sales were $3.600 billion, up 20% year over year, with 14% organic growth.",company,disclosed,L1,2026-05-05,2026-03-31,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000010/etn03312026exhibit99.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Core segment for AI power/data-center handoff.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
etn_2026q1_8k_ex99,electrical_americas,reported_metric,Electrical Americas Q1 2026 operating profit was $922 million and operating margin was 25.6%.,company,disclosed,L1,2026-05-05,2026-03-31,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000010/etn03312026exhibit99.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Margin declined from 30.0% in Q1 2025 per 10-Q segment table; margin durability is a key debate.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
etn_2026q1_8k_ex99,electrical_americas,reported_metric,Electrical Americas twelve-month rolling average orders were up 42% organically in Q1 2026 and backlog was up 44% over March 2025.,company,disclosed,L1,2026-05-05,2026-03-31,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000010/etn03312026exhibit99.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Strongest evidence for demand; still requires conversion and cancellation monitoring.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
etn_2026q1_10q,backlog,reported_metric,"Eaton disclosed total backlog of approximately $22.8 billion at March 31, 2026, with approximately 68% targeted for delivery within the next twelve months.",company,disclosed,L1,2026-05-05,2026-03-31,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000013/etn-20260331.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,The 10-Q notes only firm customer commitments are included in backlog.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
etn_2026q1_10q,demand_quality,company_claim,Eaton attributed Q1 2026 organic sales growth partly to strength in data center end-markets in Electrical Americas and Electrical Global.,company,claimed,L1,2026-05-05,2026-03-31,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000013/etn-20260331.htm,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Company attribution; needs cross-check with hyperscaler capex and peer data.,company_statement,acceptable_for_period,not_checked,attribute,supports_working_view
etn_2026q1_8k_ex99,acquisitions,fact,"Eaton closed approximately $11 billion of strategic acquisitions in Q1 2026, including Boyd Thermal and Ultra PCS.",company,disclosed,L1,2026-05-05,2026-03-31,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000010/etn03312026exhibit99.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Acquisitions are central to value-capture path and integration risk.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
etn_2026q1_8k_ex99,boyd_thermal,fact,"Eaton acquired Boyd Thermal on March 12, 2026 for $9.55 billion net of cash acquired; Boyd is a thermal components and systems supplier for data center, aerospace and other end markets.",company,disclosed,L1,2026-05-05,2026-03-31,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000010/etn03312026exhibit99.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Supports data-center thermal value-capture path but raises integration and capital allocation questions.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
stooq_etn_quote,market_pricing,market_pricing,Stooq showed ETN closing at $400.82 on 2026-05-29.,market,disclosed,L4,2026-05-29,2026-05-29,https://stooq.com/q/l/?s=etn.us&i=d,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Market quote source; should be refreshed before live use.,market_pricing,acceptable_for_period,none,monitor,supports_working_view
sec_companyfacts_shares,capitalization,reported_metric,"SEC companyfacts showed 388.3 million ETN ordinary shares outstanding at March 31, 2026.",regulator,verified,L1,2026-05-05,2026-03-31,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551182.json,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Used for market-cap estimate.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
Prophetis_etn_market_cap,valuation,derived_calculation,"Using $400.82 per share and 388.3 million shares, ETN's approximate equity market capitalization was $155.7 billion.",Prophetis,modeled,L6,2026-05-30,2026-05-29,case-local calculation,research-orchestrator,long-term-integrated-thesis,medium,stooq_etn_quote|sec_companyfacts_shares,Formula: 400.82 * 388.3m. Does not include net debt or intraday price movement.,estimate,acceptable_for_period,none,sensitize,supports_working_view
Prophetis_etn_forward_pe,valuation,derived_calculation,"Using $400.82 per share and FY2026 adjusted EPS guidance midpoint of $13.275, ETN traded at approximately 30.2x FY2026 adjusted EPS guidance.",Prophetis,modeled,L6,2026-05-30,2026-05-29,case-local calculation,research-orchestrator,long-term-integrated-thesis,medium,stooq_etn_quote|etn_2026q1_8k_ex99,Formula: 400.82 / ((13.05+13.50)/2). This is not a consensus multiple.,estimate,acceptable_for_period,none,sensitize,supports_working_view
Prophetis_etn_forward_gaap_pe,valuation,derived_calculation,"Using $400.82 per share and FY2026 GAAP EPS guidance midpoint of $11.105, ETN traded at approximately 36.1x FY2026 GAAP EPS guidance.",Prophetis,modeled,L6,2026-05-30,2026-05-29,case-local calculation,research-orchestrator,long-term-integrated-thesis,medium,stooq_etn_quote|etn_2026q1_8k_ex99,Formula: 400.82 / ((10.88+11.33)/2).,estimate,acceptable_for_period,none,sensitize,supports_working_view
iea_electricity_2024,macro_demand,forecast,IEA Electricity 2024 highlighted data-center and AI electricity demand as a material source of electricity demand growth risk through 2026.,official_agency,estimated,L2,2024-01-24,2024-01-24,https://www.iea.org/reports/electricity-2024,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Macro demand context; not company-specific validation.,assumption,acceptable_for_period,none,sensitize,supports_working_view
