metric,Q1_2026,Q1_2025,Q4_2025,comment
revenue_usd_m,57.0,10.4,58.0,"Q1 revenue +445% YoY, roughly flat QoQ versus Q4 2025."
gross_profit_loss_usd_m,-44.4,,,"Gross loss remained large despite revenue scale."
gross_margin_pct,-78.0,,-93.8,"Gross margin improved sequentially but remained deeply negative."
adjusted_ebitda_loss_usd_m,-68.0,,-74.1,"Adjusted EBITDA loss improved versus Q4 but still exceeds quarterly revenue."
adjusted_ebitda_margin_pct,-119.3,,-127.8,"Operating loss intensity is still severe."
operating_cash_flow_usd_m,-119.7,,,"Q1 operating cash burn materially exceeded adjusted EBITDA loss."
capital_expenditures_usd_m,-35.1,,,"Capex reflects manufacturing scale-up and capacity investment."
free_cash_flow_proxy_usd_m,-154.8,,,"OCF minus capex proxy; not a company-defined FCF metric."
unrestricted_cash_usd_m,410.7,,,"10-Q cash and cash equivalents excluding restricted cash."
cash_and_restricted_cash_usd_m,472.4,,623.0,"Total cash plus restricted cash fell by about $150M sequentially."
cash_decline_qoq_usd_m,-152.2,,,"Sequential cash decline shows financing and cash discipline remain core issues."
backlog_usd_m,644.6,,701.5,"Q1-end backlog fell sequentially before Frontier capacity reservation impact."
backlog_gwh,2.6,,2.8,"Backlog energy volume fell sequentially before Frontier impact."
frontier_capacity_reservation_gwh,2.0,,,"Firm capacity reservation agreement announced with Frontier Power USA."
frontier_planned_cerberus_investment_usd_m,100.0,,,"Cerberus planned investment into Frontier Power USA, subject to conditions."
frontier_planned_eose_investment_usd_m,150.0,,,"Eos target contribution to Frontier Power USA; financing/approval conditions matter."
fy2026_revenue_guidance_low_usd_m,300.0,,300.0,"Company maintained FY2026 revenue guidance range."
fy2026_revenue_guidance_high_usd_m,400.0,,400.0,"Company maintained FY2026 revenue guidance range."
cube_deliveries_growth,5.7x,,,"Company attributed revenue growth to higher cube deliveries and automation."
second_battery_line_timing,"initial production expected by end of Q2 2026",,,"Key execution milestone for volume ramp."
