source_id,claim_area,claim_type,claim_text,source_speaker,verification_status,authority_level,source_date,as_of_date,url_or_path,used_by_agent,used_by_skill,confidence,upstream_sources,notes,evidence_category,freshness_status,conflict_status,treatment,readiness_impact
ajinomoto_abf_innovation,concept_boundary,fact,Ajinomoto official ABF page defines ABF as interlayer insulation film for complex circuit substrates and high-performance CPUs.,company,verified,L1,2026-05-09,2026-05-09,https://www.ajinomoto.com/innovation/our_innovation/buildupfilm,research-orchestrator,industry-concept-analysis,high,not_applicable,Official company product explanation.,verified_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
ajinomoto_asv_report_2025,volume_mechanics,company_claim,Ajinomoto ASV Report 2025 describes HPC and generative AI as ABF demand drivers and shows a higher ABF layer/area index roadmap.,company,disclosed,L1,2026-05-09,2026-05-09,https://www.ajinomoto.co.jp/company/en/ir/library/annual/main/02/teaserItems1/0/linkList/0/link/ASV_Report_2025_A4_en.pdf.pdf,research-orchestrator,industry-concept-analysis,high,not_applicable,Company report; roadmap language needs future validation.,company_statement,acceptable_for_period,not_checked,attribute,supports_working_view
ajinomoto_fy24q4_presentation,capacity,commitment,Ajinomoto FY24Q4 presentation says the Gunma ABF varnish facility was completed in March 2025 and plans about JPY25bn investment toward 2030.,company,disclosed,L1,2026-05-09,2026-05-09,https://www.ajinomoto.co.jp/company/en/ir/event/presentation/main/011111110/teaserItems1/01/linkList/03/link/FY24Q4_Presentation_E_with%20script.pdf,research-orchestrator,industry-concept-analysis,high,not_applicable,Company presentation; investment plan should be refreshed against later capex updates.,company_statement,acceptable_for_period,none,attribute,supports_working_view
ibiden_product_flip_chip_pkg,concept_boundary,fact,"Ibiden official product page describes IC package substrates, SAP fine wiring, micro-vias and applications including PC/data center MPU and AI/vehicle GPU.",company,verified,L1,2026-05-09,2026-05-09,https://www.ibiden.com/product/electronics/merchandise/fliptippkg/,research-orchestrator,industry-concept-analysis,high,not_applicable,Official company product explanation.,verified_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
ibiden_ono_opening_2025,capacity,commitment,Ibiden Ono Plant opening release says mass production starts from October 2025 primarily for AI server products and advanced IC package substrates for AI servers and networking.,company,disclosed,L1,2026-05-09,2026-05-09,https://www.ibiden.com/company/2025/10/notice-regarding-the-opening-ceremony-of-the-ono-plant.html,research-orchestrator,industry-concept-analysis,high,not_applicable,Company capacity source.,company_statement,acceptable_for_period,none,attribute,supports_working_view
ibiden_capex_2026,capacity,commitment,Ibiden February 2026 release announces about JPY500bn electronics capex for FY2026-FY2028 and first-phase JPY220bn for high-performance IC package substrates.,company,disclosed,L1,2026-05-09,2026-05-09,https://www.ibiden.com/company/2026/02/notice-regarding-capital-investment-plan-for-high-performance-ic-package-substrates.html,research-orchestrator,industry-concept-analysis,high,not_applicable,Company capex commitment source.,company_statement,acceptable_for_period,none,attribute,supports_working_view
ibiden_fy2025q3_qa,supply_tightness,company_claim,Ibiden Q3 FY2025 Q&A says AI server IC package substrate demand exceeds capacity and cutting-edge SAP capacity could be short.,management,claimed,L1,2026-05-09,2026-05-09,https://www.ibiden.com/ir/items/en_QA_FY2025Q3.pdf,research-orchestrator,industry-concept-analysis,high,not_applicable,Management Q&A; treat as company claim about tightness.,company_statement,acceptable_for_period,not_checked,attribute,supports_working_view
ats_kulim_hvm_2025,capacity,company_claim,AT&S official release says Kulim Malaysia is ready for HVM and supplies high-end IC substrates for AMD data center processors and other customers.,company,disclosed,L1,2026-05-09,2026-05-09,https://ats.net/en/press/ats-starts-high-volume-manufacturing-at-new-plant-in-kulim-malaysia/,research-orchestrator,industry-concept-analysis,high,not_applicable,Company release source.,company_statement,acceptable_for_period,not_checked,attribute,supports_working_view
trendforce_ai_supply_chain_2026,demand,opinion,TrendForce says AI demand tightens 3nm/2nm advanced packaging and extends to substrates and materials.,media,claimed,L4,2026-05-09,2026-05-09,https://www.trendforce.com/presscenter/news/20260430-13028.html,research-orchestrator,industry-concept-analysis,medium,not_applicable,"Industry commentary, not issuer disclosure.",inference,acceptable_for_period,not_checked,attribute,supports_working_view
trendforce_ai_server_2026,demand,forecast,TrendForce estimated global AI server shipments grow over 28% in 2026 and ASIC share expands.,media,estimated,L4,2026-05-09,2026-05-09,https://www.trendforce.com.tw/presscenter/news/20260120-12885.html,research-orchestrator,industry-concept-analysis,medium,not_applicable,External forecast.,assumption,acceptable_for_period,none,sensitize,supports_working_view
trendforce_csp_capex_2026,demand,forecast,TrendForce estimated eight major CSP capex above USD710bn in 2026 and broader ASIC deployment.,media,estimated,L4,2026-05-09,2026-05-09,https://www.trendforce.com.tw/presscenter/news/20260225-12933.html,research-orchestrator,industry-concept-analysis,medium,not_applicable,External forecast.,assumption,acceptable_for_period,none,sensitize,supports_working_view
