source_id,claim_area,claim_type,claim_text,source_speaker,verification_status,authority_level,source_date,as_of_date,url_or_path,used_by_agent,used_by_skill,confidence,upstream_sources,notes,evidence_category,freshness_status,conflict_status,treatment,readiness_impact
NVTS-PR-2026Q1,financials,reported_metric,"NVTS reported 2026Q1 revenue of $8.6M, GAAP gross margin -9.3%, non-GAAP gross margin 39.0%, GAAP operating loss $27.8M, non-GAAP operating loss $11.7M, and cash/equivalents $221.0M.",company,verified,L1,2026-05-05,2026-05-29,https://navitassemi.gcs-web.com/news-releases/news-release-details/navitas-semiconductor-announces-first-quarter-2026-financial,research-orchestrator,earnings-report-analysis,high,not_applicable,"Company earnings release.",reported_fact,current,none,use_normally,supports_durable_conclusion
NVTS-PR-2026Q1-GUIDE,guidance,guidance,"NVTS guided 2026Q2 revenue to $10.0M +/- $0.5M, non-GAAP gross margin to 39.25% +/- 75 bps, and non-GAAP opex to $14.5M-$15.5M.",company,disclosed,L1,2026-05-05,2026-05-29,https://navitassemi.gcs-web.com/news-releases/news-release-details/navitas-semiconductor-announces-first-quarter-2026-financial,research-orchestrator,earnings-report-analysis,high,not_applicable,"Company earnings release; guidance is not realized fact.",management_guidance,current,none,attribute,supports_working_view
NVTS-PR-2026Q1-MIX,business_mix,company_claim,"Management said high-power markets represented a large majority of revenue and grew approximately 35% YoY.",management,claimed,L1,2026-05-05,2026-05-29,https://ir.navitassemi.com/node/11626/pdf,research-orchestrator,earnings-report-analysis,medium,not_applicable,"Segment detail is limited; treat as management disclosure and not independently verified segment data.",company_statement,current,not_checked,attribute,supports_working_view
NVTS-10Q-2026Q1,cash_flow,reported_metric,"Operating cash flow was negative $16.362M for 2026Q1, versus negative $13.533M in 2025Q1.",company,verified,L1,2026-05-12,2026-05-29,https://www.sec.gov/Archives/edgar/data/1821769/000162828026030524/nvts-20260331.htm,research-orchestrator,earnings-report-analysis,high,not_applicable,"SEC filing.",reported_fact,current,none,use_normally,supports_durable_conclusion
NVTS-10Q-2026Q1-CONC,customer_concentration,reported_metric,"Distributor A represented 59% of 2026Q1 revenue and 58% of accounts receivable at March 31, 2026.",company,verified,L1,2026-05-12,2026-05-29,https://www.sec.gov/Archives/edgar/data/1821769/000162828026030524/nvts-20260331.htm,research-orchestrator,earnings-report-analysis,high,not_applicable,"SEC filing.",reported_fact,current,none,use_normally,supports_durable_conclusion
NVTS-10Q-2026Q1-DRAG,revenue_driver,reported_metric,"The YoY revenue decline was primarily due to lower mobile sales in Asia, primarily China, and consumer markets.",company,verified,L1,2026-05-12,2026-05-29,https://www.sec.gov/Archives/edgar/data/1821769/000162828026030524/nvts-20260331.htm,research-orchestrator,earnings-report-analysis,high,not_applicable,"SEC filing MD&A.",reported_fact,current,none,use_normally,supports_durable_conclusion
NVTS-CALL-2026Q1,management_commentary,company_claim,"Management said high-power markets drove the return to sequential growth and are expected to continue driving sequential growth through 2026.",management,claimed,L4,2026-05-06,2026-05-29,https://www.fool.com/earnings/call-transcripts/2026/05/06/navitas-nvts-q1-2026-earnings-transcript/,research-orchestrator,earnings-report-analysis,medium,not_applicable,"Third-party transcript source captures call remarks; treat as management claim.",company_statement,current,not_checked,attribute,supports_working_view
NVTS-CALL-2026Q1-AI,ai_datacenter,company_claim,"Management framed GaN and SiC content per MW as meaningful in AI data-center 800V architectures.",management,claimed,L4,2026-05-06,2026-05-29,https://www.fool.com/earnings/call-transcripts/2026/05/06/navitas-nvts-q1-2026-earnings-transcript/,research-orchestrator,earnings-report-analysis,medium,not_applicable,"Needs customer/ramp validation.",company_statement,current,not_checked,monitor,monitoring_only
POWI-PR-2026Q1,peer_check,reported_metric,"Power Integrations reported 2026Q1 revenue of $108.3M, +3% YoY and +5% QoQ, operating cash flow of $20.0M, industrial revenue +23% YoY, and Q2 revenue guidance of $115M-$120M.",company,verified,L1,2026-05-07,2026-05-29,https://investors.power.com/news/news-details/2026/Power-Integrations-Reports-First-Quarter-Financial-Results/default.aspx,research-orchestrator,earnings-report-analysis,high,not_applicable,"Relevant high-voltage power peer.",reported_fact,current,none,use_normally,supports_working_view
NVTS-MKT-2026-05,market_reaction,market_pricing,"Public market data showed NVTS around $29 and market cap around $6.8B in late May 2026.",market,estimated,L5,2026-05-22,2026-05-29,https://finance.yahoo.com/quote/NVTS/,research-orchestrator,earnings-report-analysis,medium,not_applicable,"Market data can move intraday; refresh before trading. Market pricing is not fundamental validation.",market_pricing,current,none,monitor,supports_working_view
NVDA-800V-2025,industry_architecture,fact,"NVIDIA said it is leading a transition to 800 VDC data-center power infrastructure to support 1MW IT racks and beyond starting in 2027, and listed Navitas among multiple silicon providers.",company,verified,L1,2025-05-20,2026-05-29,https://developer.nvidia.com/blog/?p=100571,research-orchestrator,supply-chain-overlay,high,not_applicable,"Important: partner list is broad; not exclusive to NVTS.",verified_fact,acceptable_for_period,none,use_normally,supports_working_view
NVTS-NVDA-2025,strategic_catalyst,company_claim,"Navitas announced collaboration with NVIDIA on next-generation 800 V HVDC architecture to support Kyber rack-scale systems such as Rubin Ultra, using GaNFast and GeneSiC technologies.",company,claimed,L1,2025-05-21,2026-05-29,https://www.globenewswire.com/news-release/2025/05/21/3086170/0/en/NVIDIA-Selects-Navitas-to-Collaborate-on-Next-Generation-800-V-HVDC-Architecture.html,research-orchestrator,strategic-catalyst-overlay,medium,not_applicable,"Company release validates the claim was made, but does not prove production revenue.",company_statement,acceptable_for_period,not_checked,attribute,supports_working_view
