metric,Q1_2026,Q1_2025,Q4_2025_or_prior,comment
net_revenue_usd_m,167.0,84.5,,"GAAP net revenue increased 97.6% YoY."
adjusted_net_revenue_usd_m,166.8,87.0,,"Adjusted net revenue increased 91.8% YoY."
net_income_usd_m,45.0,-0.6,,"GAAP net income turned positive; includes $6.9M income tax benefit."
net_income_margin_pct,27.0,-0.7,,"GAAP margin improved materially, but tax benefit and fair-value items should be separated from operating quality."
diluted_eps_usd,0.18,-0.01,,"MarketBeat consensus EPS was $0.17; beat was $0.01."
adjusted_ebitda_usd_m,82.7,28.3,,"Adjusted EBITDA increased 191.8% YoY."
adjusted_ebitda_margin_pct,49.6,32.6,,"Margin expansion was a core positive signal."
ecosystem_volume_usd_b,3.72,1.58,,"Ecosystem volume increased 135.8% YoY."
consumer_loan_marketplace_volume_usd_b,2.90,1.37,,"Consumer Loan Marketplace volume increased 112.6% YoY."
figure_connect_volume_usd_b,1.61,0.48,,"Figure Connect volume increased 237.3% YoY and reached 56% of Consumer Loan Marketplace volume."
net_take_rate_pct,3.8,3.6,,"Take rate expanded 20 bps; management says mix may pressure take rate as first-lien and lower-capital-intensity products scale."
first_lien_volume_pct_of_total,20.0,14.0,,"Reported on call; first-lien growth expands TAM but can lower take rate."
partners_count,387,,,"Company added 80 partners in Q1 and ended the quarter with 387 active partners."
ylds_in_circulation_usd_m,598.0,3.0,,"YLDS scaled rapidly from early 2025 launch."
democratized_prime_matched_offers_usd_m,368.0,,,"End-of-quarter balance; product still early but scaling."
cash_and_equivalents_ex_restricted_usd_b,1.46,,1.20,"Cash excluding restricted cash rose from Dec. 31, 2025."
restricted_cash_usd_m,71.9,,68.6,"Restricted cash disclosed on unaudited balance sheet."
loans_held_for_sale_usd_m,503.9,,404.3,"Balance sheet loan exposure increased."
total_assets_usd_b,2.73,,2.32,"Total assets increased sequentially."
total_liabilities_usd_b,1.44,,1.08,"Liabilities increased with current and related-party debt."
stockholders_equity_usd_b,1.29,,1.24,"Equity base modestly higher sequentially."
q2_2026_consumer_loan_marketplace_volume_guidance_low_usd_b,3.8,,,"Company initiated one-quarter-forward volume guidance."
q2_2026_consumer_loan_marketplace_volume_guidance_high_usd_b,4.1,,,"Midpoint implies roughly 36% sequential growth versus Q1 volume."
april_2026_consumer_loan_marketplace_volume_usd_b,1.34,,1.19,"April volume was up 12% versus March 2026 and 108% YoY versus April 2025."
april_2026_democratized_prime_matched_offers_usd_m,384.0,,368.0,"April matched offers rose 4% versus March."

