metric,period,value,unit,yoy_change,qoq_change,source_id,notes
revenue,2026Q1,8.598,USD million,-38.7%,+17.8%,NVTS-PR-2026Q1,"Q1 2025 revenue was $14.018M; Q4 2025 revenue was $7.296M."
gaap_gross_margin,2026Q1,-9.3,pct,-18.4 pp,+7.9 pp,NVTS-PR-2026Q1,"GAAP gross margin includes acquisition-related amortization."
non_gaap_gross_margin,2026Q1,39.0,pct,+0.9 pp,+0.3 pp,NVTS-PR-2026Q1,"Company non-GAAP measure."
gaap_operating_loss,2026Q1,-27.766,USD million,-9.7% loss wider,+32.9% loss narrower QoQ,NVTS-PR-2026Q1,"Q4 2025 included restructuring and impairment charge."
non_gaap_operating_loss,2026Q1,-11.659,USD million,+1.4% loss narrower,+3.3% loss narrower QoQ,NVTS-PR-2026Q1,"Company non-GAAP measure."
gaap_net_loss,2026Q1,-33.785,USD million,-100.8% loss wider,-6.2% loss wider QoQ,NVTS-PR-2026Q1,"Includes $7.9M earnout-liability fair-value loss."
gaap_eps,2026Q1,-0.15,USD/share,-0.06,-0.01,NVTS-PR-2026Q1,"Basic and diluted."
non_gaap_eps,2026Q1,-0.04,USD/share,+0.02,+0.01,NVTS-PR-2026Q1,"Company non-GAAP measure."
operating_cash_flow,2026Q1,-16.362,USD million,-20.9%,not sourced,NVTS-10Q-2026Q1,"Cash used in operating activities."
approx_free_cash_flow,2026Q1,-16.750,USD million,not calculated,not calculated,NVTS-10Q-2026Q1,"Operating cash flow minus investing cash use as rough proxy; capex detail not separately used here."
cash_and_equivalents,2026Q1,221.008,USD million,not sourced,-6.7%,NVTS-PR-2026Q1,"Compared with $236.857M at 2025 year-end."
cash_cash_equivalents_restricted_cash,2026Q1,223.370,USD million,not sourced,-6.4%,NVTS-10Q-2026Q1,"10-Q liquidity table."
debt,2026Q1,0,USD million,not sourced,not sourced,NVTS-CALL-2026Q1,"Management stated no outstanding debt."
q2_revenue_guidance_midpoint,2026Q2,10.0,USD million,not applicable,+16.3% implied,NVTS-PR-2026Q1,"Guidance range $9.5M-$10.5M."
