source_id,claim_area,claim_type,claim_text,source_speaker,verification_status,authority_level,source_date,as_of_date,url_or_path,used_by_agent,used_by_skill,confidence,upstream_sources,notes,evidence_category,freshness_status,conflict_status,treatment,readiness_impact
sse_etf_options_delivery_notice_2026_03_25,sse_option_underlyings,fact,"The SSE delivery notice confirmed current SSE ETF option underlyings 510050, 510300, 510500, 588000 and 588080.",exchange,verified,L1,2026-03-25,2026-05-26,https://big5.sse.com.cn/assortment/options/disclo/update/c/c_20260318_10812131.shtml,research-orchestrator,equity-research-core,high,not_applicable,Exchange notice; refresh before live trading or portfolio decisions.,verified_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
szse_gem_500_option_launch_2022_09_16,szse_option_underlyings,fact,SZSE launch news confirmed GEM ETF option 159915 and CSI 500 ETF option 159922 underlyings.,exchange,verified,L1,2022-09-16,2026-05-26,https://www.szse.cn/aboutus/trends/news/t20220916_595891.html,research-orchestrator,equity-research-core,high,not_applicable,Exchange source used for underlying identity.,verified_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
szse_300_option_launch_2019_12_13,szse_option_underlyings,fact,SZSE launch news confirmed CSI 300 ETF option underlying 159919.,exchange,verified,L1,2019-12-13,2026-05-26,https://www.szse.cn/aboutus/trends/news/t20191213_572597.html,research-orchestrator,equity-research-core,high,not_applicable,Exchange source used for underlying identity.,verified_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
szse_sz100_option_notice_2022_12_09,szse_option_underlyings,fact,SZSE notice confirmed SZSE 100 ETF option underlying 159901.,exchange,verified,L1,2022-12-09,2026-05-26,https://www.szse.cn/disclosure/notice/general/t20221209_597760.html,research-orchestrator,equity-research-core,high,not_applicable,Exchange source used for underlying identity.,verified_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
etfrun_sse50_2026_05_25,index_weights,reported_metric,ETF.run was used for SSE 50 top-8 constituent concentration and SW first-level sector weights as of 2026-05-25.,market,estimated,L5,2026-05-25,2026-05-25,https://www.etf.run/index/SSE/000016,research-orchestrator,equity-research-core,medium,not_applicable,"Secondary market-data source, not official index file.",reported_fact,acceptable_for_period,none,use_normally,supports_working_view
etfrun_csi300_2026_05_25,index_weights,reported_metric,ETF.run was used for CSI 300 top-8 constituent concentration and SW first-level sector weights as of 2026-05-25.,market,estimated,L5,2026-05-25,2026-05-25,https://www.etf.run/index/SSE/000300,research-orchestrator,equity-research-core,medium,not_applicable,"Secondary market-data source, not official index file.",reported_fact,acceptable_for_period,none,use_normally,supports_working_view
etfrun_csi500_2026_05_25,index_weights,reported_metric,ETF.run was used for CSI 500 top-8 constituent concentration and SW first-level sector weights as of 2026-05-25.,market,estimated,L5,2026-05-25,2026-05-25,https://www.etf.run/index/SSE/000905,research-orchestrator,equity-research-core,medium,not_applicable,"Secondary market-data source, not official index file.",reported_fact,acceptable_for_period,none,use_normally,supports_working_view
etfrun_star50_2026_05_25,index_weights,reported_metric,ETF.run was used for STAR 50 top-8 constituent concentration and SW first-level sector weights as of 2026-05-25.,market,estimated,L5,2026-05-25,2026-05-25,https://www.etf.run/index/SSE/000688,research-orchestrator,equity-research-core,medium,not_applicable,"Secondary market-data source, not official index file.",reported_fact,acceptable_for_period,none,use_normally,supports_working_view
etfrun_chinext_2026_05_25,index_weights,reported_metric,ETF.run was used for ChiNext Index top-8 constituent concentration and SW first-level sector weights as of 2026-05-25.,market,estimated,L5,2026-05-25,2026-05-25,https://www.etf.run/index/SZSE/399006,research-orchestrator,equity-research-core,medium,not_applicable,"Secondary market-data source, not official index file.",reported_fact,acceptable_for_period,none,use_normally,supports_working_view
cnindex_sz100_factsheet_2026_04,index_weights,reported_metric,"CNIndex SZSE 100 factsheet was used to confirm SZSE 100 positioning, industry distribution, market distribution and top-10 weights from the 2026-04 factsheet.",official_agency,verified,L2,2026-04-30,2026-04-30,https://www.cnindex.com.cn/html2pdf/preview/jj_399330.pdf,research-orchestrator,equity-research-core,high,not_applicable,Official index provider factsheet.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
