source_id,claim_area,claim_type,claim_text,source_speaker,verification_status,authority_level,source_date,as_of_date,url_or_path,used_by_agent,used_by_skill,confidence,upstream_sources,notes,evidence_category,freshness_status,conflict_status,treatment,readiness_impact
tdoc_q3_2020_release,demand_shock,reported_metric,Teladoc reported Q3 2020 revenue growth of 109% and visits growth of 206%.,company,disclosed,L1,2020-10-28,2020-09-30,https://ir.teladoc.com/news-and-events/investor-news/press-release-details/2020/Teladoc-Health-Reports-Third-Quarter-2020-Results/default.aspx,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Official source path; page content may need archival verification. Used as demand shock evidence.,reported_fact,acceptable_for_period,none,use_normally,supports_working_view
tdoc_livongo_merger_2020,acquisition_narrative,company_claim,"Teladoc and Livongo announced a merger to create a new standard in global healthcare delivery, access and experience.",company,claimed,L1,2020-08-05,2020-08-05,https://ir.teladoc.com/news-and-events/investor-news/press-release-details/2020/Teladoc-Health-and-Livongo-Merge-to-Create-New-Standard-in-Global-Healthcare-Delivery-Access-and-Experience/default.aspx,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,"Strategic claim, not proof of value creation.",company_statement,acceptable_for_period,not_checked,attribute,supports_working_view
tdoc_livongo_merger_2020,acquisition_narrative,forecast,Teladoc and Livongo merger materials expected approximately $1.3 billion in 2020 pro forma revenue and approximately 85% pro forma revenue growth.,company,claimed,L1,2020-08-05,2020-08-05,https://ir.teladoc.com/news-and-events/investor-news/press-release-details/2020/Teladoc-Health-and-Livongo-Merge-to-Create-New-Standard-in-Global-Healthcare-Delivery-Access-and-Experience/default.aspx,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Forecast/pro forma claim; not normalized post-COVID demand evidence.,assumption,acceptable_for_period,none,sensitize,supports_working_view
sec_tdoc_companyfacts,revenue,reported_metric,"SEC companyfacts show TDOC revenue of $1.094 billion in 2020, $2.033 billion in 2021, and $2.407 billion in 2022.",regulator,verified,L1,2023-03-01,2022-12-31,https://data.sec.gov/api/xbrl/companyfacts/CIK0001477449.json,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Shows growth decelerated from 2021 to 2022.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
sec_tdoc_companyfacts,profitability,reported_metric,SEC companyfacts show TDOC net loss of $429 million in 2021 and $13.660 billion in 2022.,regulator,verified,L1,2023-03-01,2022-12-31,https://data.sec.gov/api/xbrl/companyfacts/CIK0001477449.json,research-orchestrator,long-term-integrated-thesis,high,not_applicable,2022 loss includes large goodwill impairment; useful for postmortem.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
sec_tdoc_companyfacts,goodwill,reported_metric,"SEC companyfacts show TDOC goodwill of $14.504 billion at December 31, 2021 and $1.073 billion at December 31, 2022.",regulator,verified,L1,2023-03-01,2022-12-31,https://data.sec.gov/api/xbrl/companyfacts/CIK0001477449.json,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Hard evidence that acquisition-era goodwill was substantially impaired.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
tdoc_fy2021_release,demand_normalization,reported_metric,Teladoc's FY2021 release reported Q4 2021 revenue growth of 45% and visits growth of 41%.,company,disclosed,L1,2022-02-22,2021-12-31,https://ir.teladoc.com/news-and-events/investor-news/press-release-details/2022/Teladoc-Health-Reports-Fourth-Quarter-and-Full-Year-2021-Results/default.aspx,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,"Still strong, but much lower than Q3 2020 visits growth; indicates normalization risk.",reported_fact,acceptable_for_period,none,use_normally,supports_working_view
tdoc_q2_2022_release,impairment,fact,Teladoc reported a $3.0 billion non-cash goodwill impairment charge in Q2 2022.,company,disclosed,L1,2022-07-27,2022-06-30,https://ir.teladochealth.com/news-and-events/investor-news/press-release-details/2022/Teladoc-Health-Reports-Second-Quarter-2022-Results/,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Official impairment event after initial thesis break.,reported_fact,acceptable_for_period,none,use_normally,supports_working_view
tdoc_q3_2022_release,impairment,fact,Teladoc reported $9.6 billion of non-cash goodwill impairment charges for the first nine months of 2022.,company,disclosed,L1,2022-10-26,2022-09-30,https://ir.teladochealth.com/news-and-events/investor-news/press-release-details/2022/Teladoc-Health-Reports-Third-Quarter-2022-Results/default.aspx,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Postmortem evidence confirming acquisition value-capture failure.,reported_fact,acceptable_for_period,none,use_normally,supports_working_view
sec_tdoc_shares,capitalization,reported_metric,"SEC companyfacts show TDOC had approximately 152.7 million shares outstanding at February 25, 2021.",regulator,verified,L1,2021-03-01,2021-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0001477449.json,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Used for approximate peak-era valuation framing.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
