source_id,claim_area,claim_type,claim_text,source_speaker,verification_status,authority_level,source_date,as_of_date,url_or_path,used_by_agent,used_by_skill,confidence,upstream_sources,notes,evidence_category,freshness_status,conflict_status,treatment,readiness_impact
nvidia_vera_rubin_2026,cpo_roadmap,reported_metric,NVIDIA says Spectrum-X Ethernet Photonics is in production and uses co-packaged optics for million-GPU AI factories.,company,verified,L1,2026-05-31,2026-06-01,https://nvidianews.nvidia.com/news/vera-rubin-full-production-agentic-ai-factory,research-orchestrator,roadmap-to-bottleneck-recursion,high,not_applicable,Roadmap anchor for treating CPO as more than social-media narrative.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
nvidia_cpo_collab_blog,cpo_value_chain,fact,"NVIDIA describes CPO ecosystem needs across photonics ICs, electronic ICs, fiber, packaging, connectors and lasers.",company,verified,L1,2025-03-18,2026-06-01,https://developer.nvidia.com/blog/how-industry-collaboration-fosters-nvidia-co-packaged-optics/,research-orchestrator,industry-concept-analysis,high,not_applicable,Supports chain map and recursive search nodes.,verified_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
nvidia_cpo_efficiency_blog,cpo_roadmap,company_claim,NVIDIA says Quantum-X Photonics and Spectrum-X Photonics bring CPO into networking and cites better power efficiency as the reason for AI factory scaling.,company,verified,L1,2025-03-18,2026-06-01,https://developer.nvidia.com/blog/scaling-ai-factories-with-co-packaged-optics-for-better-power-efficiency/,research-orchestrator,roadmap-to-bottleneck-recursion,high,not_applicable,Used for roadmap and first-principles mechanism.,company_statement,acceptable_for_period,not_checked,attribute,supports_working_view
tsmc_tech_symposium_2026,cpo_packaging,company_claim,"TSMC says COUPE integrates EIC, PIC and light sources into a substrate/package-level optical engine and is scheduled for production in 2026.",company,verified,L1,2026-04-23,2026-06-01,https://pr.tsmc.com/english/news/3232,research-orchestrator,industry-concept-analysis,high,not_applicable,Supports package integration bottleneck and production timing.,company_statement,acceptable_for_period,not_checked,attribute,supports_working_view
nvidia_coherent_2026,external_laser,commitment,NVIDIA and Coherent announced a strategic partnership including a $2 billion investment commitment to accelerate advanced optical networking and capacity expansion.,company,verified,L1,2026-05-28,2026-06-01,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-and-Coherent-Announce-Strategic-Partnership-to-Develop-Optics-Technology-to-Scale-Next-Generation-Data-Center-Architecture/default.aspx,research-orchestrator,roadmap-to-bottleneck-recursion,high,not_applicable,"Strongest source for COHR handoff, but company-level economics still need diligence.",company_statement,acceptable_for_period,none,attribute,supports_working_view
nvidia_lumentum_2026,external_laser,company_claim,NVIDIA and Lumentum announced collaboration on optics technology for AI networking including CPO-related components and laser-source work.,company,verified,L1,2026-05-28,2026-06-01,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-and-Lumentum-Announce-Strategic-Partnership-to-Develop-Optics-Technology-to-Scale-Next-Generation-Data-Center-Architecture/default.aspx,research-orchestrator,roadmap-to-bottleneck-recursion,medium,not_applicable,Used for LITE handoff; revenue materiality still unproven.,company_statement,acceptable_for_period,not_checked,attribute,supports_working_view
veeco_q1_2026,InP_laser_equipment,reported_metric,"Veeco reported more than $250 million in orders from leaders serving AI and CPO markets to equip high-volume InP laser manufacturing, with deliveries starting in 2026 and accelerating in 2027.",company,verified,L1,2026-05-06,2026-06-01,https://ir.veeco.com/news-events/press-releases/detail/200/veeco-announces-first-quarter-2026-financial-results,research-orchestrator,roadmap-to-bottleneck-recursion,high,not_applicable,Key source for identifying InP laser manufacturing equipment as a next-layer bottleneck.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
axt_2025_10k,InP_substrate,company_claim,"AXT says InP substrates are used in fiber optic lasers and detectors, data-center connectivity, AI, silicon photonics and photonic integrated circuits, and discusses development of 6-inch InP substrates.",company,verified,L1,2026-03-13,2026-06-01,https://www.sec.gov/Archives/edgar/data/1051627/000095017026039780/axti-20251231.htm,research-orchestrator,roadmap-to-bottleneck-recursion,medium,not_applicable,Supports AXTI as upstream candidate; export/geography and financial quality need separate diligence.,company_statement,acceptable_for_period,not_checked,attribute,supports_working_view
corning_nvidia_2026,optical_connectivity,commitment,"NVIDIA and Corning announced a long-term partnership to increase optical connectivity manufacturing capacity for NVIDIA AI infrastructure, including more fiber and new plants.",company,verified,L1,2026-05-28,2026-06-01,https://www.corning.com/optical-communications/emea/en/home/news-and-events/news-releases/2026/05/nvidia-and-corning-announce-long-term-partnership.html,research-orchestrator,industry-concept-analysis,high,not_applicable,Supports optical connectivity scale-out as a real but less pure bottleneck.,company_statement,acceptable_for_period,none,attribute,supports_working_view
ayar_sivers_2025,private_ecosystem,company_claim,Ayar Labs and Sivers describe DFB laser arrays and SuperNova external light source work for high-bandwidth optical I/O.,company,verified,L1,2025-03-26,2026-06-01,https://www.sivers-semiconductors.com/press-releases/sivers-and-ayar-labs-deepen-collaboration-to-advance-breakthroughs-in-ai-and-high-performance-computing/,research-orchestrator,roadmap-to-bottleneck-recursion,medium,not_applicable,"Private/public ecosystem signal, not enough for a liquid US stock handoff by itself.",company_statement,acceptable_for_period,not_checked,attribute,supports_working_view
