source_id,claim_area,claim_type,claim_text,source_speaker,verification_status,authority_level,source_date,as_of_date,url_or_path,used_by_agent,used_by_skill,confidence,upstream_sources,notes,evidence_category,freshness_status,conflict_status,treatment,readiness_impact
pton_2020_10k_demand,revenue,reported_metric,FY2020 connected fitness product revenue was $1.462B and subscription revenue was $363.7M; product revenue growth was attributed partly to stay-at-home orders during COVID-19.,company,disclosed,L1,2020-09-11,2020-06-30,https://www.sec.gov/Archives/edgar/data/1639825/000163982520000122/pton-20200630.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Official 10-K; used to identify COVID demand-shock contamination.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
pton_2020_10k_metrics,product_reality,reported_metric,"FY2020 ending connected fitness subscriptions were 1.091M, average net monthly churn was 0.62%, total workouts were 164.5M and average monthly workouts per connected fitness subscription were 17.9.",company,disclosed,L1,2020-09-11,2020-06-30,https://www.sec.gov/Archives/edgar/data/1639825/000163982520000122/pton-20200630.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Installed-base and engagement metrics.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
pton_2021_10k_revenue,revenue,reported_metric,"FY2021 connected fitness product revenue was $3.150B, subscription revenue was $872.2M and total revenue was $4.022B.",company,disclosed,L1,2021-08-27,2021-06-30,https://www.sec.gov/Archives/edgar/data/1639825/000163982521000256/pton-20210630.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Peak growth year in backtest period.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
pton_2021_10k_metrics,product_reality,reported_metric,"FY2021 ending connected fitness subscriptions were 2.331M, average net monthly churn was 0.61%, total workouts were 459.7M and average monthly workouts per subscription were 22.0.",company,disclosed,L1,2021-08-27,2021-06-30,https://www.sec.gov/Archives/edgar/data/1639825/000163982521000256/pton-20210630.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Shows real engagement but not normalized future hardware demand.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
pton_q2_2022_10q_revenue,demand_normalization,reported_metric,"For the three months ended December 31 2021, connected fitness product revenue declined 8.5% year over year and for the six-month period declined 11.8% year over year.",company,disclosed,L1,2022-02-08,2021-12-31,https://www.sec.gov/Archives/edgar/data/1639825/000163982522000013/pton-20211231.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Pre-FY2022 collapse evidence of hardware-demand normalization.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
pton_q2_2022_10q_margin,unit_economics,reported_metric,"Q2 FY2022 connected fitness product gross margin fell to 6.4% from 35.3% in Q2 FY2021, driven by price reduction, logistics deleveraging, component costs and recall charges.",company,disclosed,L1,2022-02-08,2021-12-31,https://www.sec.gov/Archives/edgar/data/1639825/000163982522000013/pton-20211231.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Key early downgrade signal before full-year negative product gross margin.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
sec_pton_companyfacts_inventory,inventory,reported_metric,"SEC companyfacts show inventory of $937.1M at June 30 2021, $1.541B at December 31 2021, and $1.105B at June 30 2022.",regulator,verified,L1,2023-02-01,2022-06-30,https://data.sec.gov/api/xbrl/companyfacts/CIK0001639825.json,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Inventory rose into demand normalization; relevant to capacity/inventory commitment risk.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
pton_2022_10k_revenue,demand_normalization,reported_metric,FY2022 connected fitness product revenue fell 30.5% to $2.188B while subscription revenue rose 59.9% to $1.395B; total revenue fell 10.9% to $3.582B.,company,disclosed,L1,2022-09-07,2022-06-30,https://www.sec.gov/Archives/edgar/data/1639825/000163982522000117/pton-20220630.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Shows subscription growth did not prevent total-company decline.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
pton_2022_10k_metrics,product_reality,reported_metric,"FY2022 ending connected fitness subscriptions were 2.966M, average net monthly churn was 0.96%, total workouts were 540.0M and average monthly workouts per subscription fell to 16.4.",company,disclosed,L1,2022-09-07,2022-06-30,https://www.sec.gov/Archives/edgar/data/1639825/000163982522000117/pton-20220630.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Installed base continued growing while engagement per subscription weakened.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
pton_2022_10k_margin,unit_economics,reported_metric,"FY2022 connected fitness products gross margin decreased to negative 11.3% from 29.0% in FY2021, with excess-inventory reserves and logistics costs among cited drivers.",company,disclosed,L1,2022-09-07,2022-06-30,https://www.sec.gov/Archives/edgar/data/1639825/000163982522000117/pton-20220630.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Hard evidence that the hardware acquisition engine broke.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
pton_2022_10k_cash,financial_quality,reported_metric,"FY2022 net loss was $2.828B, operating cash flow was negative $2.020B and free cash flow was negative $2.357B.",company,disclosed,L1,2022-09-07,2022-06-30,https://www.sec.gov/Archives/edgar/data/1639825/000163982522000117/pton-20220630.htm,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Postmortem severity evidence.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
sec_pton_companyfacts_goodwill,capital_allocation,reported_metric,SEC companyfacts show goodwill fell from $224.4M at December 31 2021 to $41.2M at March 31 2022.,regulator,verified,L1,2023-05-04,2022-03-31,https://data.sec.gov/api/xbrl/companyfacts/CIK0001639825.json,research-orchestrator,long-term-integrated-thesis,high,not_applicable,Supports asset-value reset evidence; not the main downgrade trigger.,reported_fact,acceptable_for_period,none,use_normally,supports_durable_conclusion
macrotrends_statmuse_pton_peak_price,valuation,market_pricing,MacroTrends and StatMuse search results state PTON's all-time high stock closing price was $167.42 on January 13 2021.,market,disclosed,L4,2026-05-30,2021-01-13,https://www.macrotrends.net/stocks/charts/PTON/peloton-interactive/stock-price-history | https://www.statmuse.com/money/ask/all-time-high-pton,research-orchestrator,long-term-integrated-thesis,medium,not_applicable,Direct MacroTrends page returned 403 during browser open; retain as source-improved but not final archive-grade.,market_pricing,acceptable_for_period,none,monitor,supports_working_view
