methodology_topic,search_date,query_family,query_text,language_or_circle,source_bucket,target_pattern,result_quality,next_step,notes
long_term_integrated_thesis,2026-05-30,keyword,"long term investment process fundamental research institutional",en,institutional,who_uses_it,medium,extract_process,"Capital Group and T. Rowe Price style sources support long horizon and fundamental research but provide limited executable detail."
long_term_integrated_thesis,2026-05-30,institutional,"Capital Group investment philosophy long term fundamental research",en,institutional,how_it_is_used,medium,keep_as_process_prior,"Useful for research culture and long-horizon discipline, not enough for variable-level workflow."
long_term_integrated_thesis,2026-05-30,institutional,"T. Rowe Price proprietary fundamental research long term investment approach",en,institutional,how_it_is_used,medium,keep_as_process_prior,"Useful to justify proprietary fundamental research and analyst specialization, but public detail is broad."
industry_structure_lens,2026-05-30,keyword,"CFA Institute industry competitive analysis Porter PESTLE industry life cycle",en,institutional,what_it_is,high,extract_lens,"Strong public baseline for industry definition, industry size, growth, profitability, concentration, Porter forces and PESTLE."
industry_structure_lens,2026-05-30,author_or_institution,"Harvard Business School Porter Five Forces official framework",en,institutional,what_it_is,high,extract_lens,"Good competitive structure lens; must be paired with company execution and valuation expectations."
industry_structure_lens,2026-05-30,adjacent_terms,"BCG growth share matrix experience curve portfolio management",en,institutional,adjacent_method,medium,extract_selectively,"Useful for portfolio position and market-share/cash-generation thinking; too coarse for standalone equity thesis."
consumer_demand_lens,2026-05-30,keyword,"McKinsey consumer decision journey initial consideration active evaluation loyalty loop",en,institutional,what_it_is,high,extract_lens,"Useful for demand formation, channel touchpoints, loyalty and post-purchase loops."
consumer_demand_lens,2026-05-30,contradiction,"consumer funnel failure loyalty loop switching behavior brand decay",en,mixed,where_it_fails,medium,add_failure_modes,"Consumer journey frameworks can overweight marketing funnel and underweight affordability, substitution and macro pressure."
product_reality_lens,2026-05-30,keyword,"HBR jobs to be done Christensen customer product innovation",en,institutional,what_it_is,high,extract_lens,"Useful for separating real customer progress from feature or TAM storytelling."
product_reality_lens,2026-05-30,practitioner,"SVPG product discovery value usability feasibility viability risks",en,practitioner,how_it_is_used,high,extract_lens,"Useful for product risk decomposition before accepting product-led thesis."
product_reality_lens,2026-05-30,practitioner,"Sequoia product market fit customer love retention usage",en,practitioner,how_it_is_used,medium,extract_selectively,"Useful for startup and growth company product validation; less directly applicable to mature cyclicals."
macro_economy_lens,2026-05-30,keyword,"IMF World Economic Outlook growth inflation policy long term macro framework",en,institutional,macro_context,medium,extract_lens,"Useful macro regime and global growth/inflation context, but must translate to company variables."
macro_economy_lens,2026-05-30,keyword,"World Bank Global Economic Prospects long term growth productivity investment",en,institutional,macro_context,medium,extract_lens,"Useful for productivity, investment and growth backdrop; public equity thesis still needs asset transmission chain."
macro_economy_lens,2026-05-30,first_principles,"credit cycle interest rates inflation liquidity equity valuation transmission chain",en,first_principles,functional_description,medium,merge_with_macro_overlay,"Macro lens should not replace company analysis unless macro is the dominant price setter."
company_execution_lens,2026-05-30,author_or_institution,"Morgan Stanley Mauboussin return on invested capital competitive advantage period capital allocation",en,institutional,what_it_is,high,extract_lens,"Strong bridge from business quality to value creation: ROIC, reinvestment runway, competitive advantage period and capital allocation."
valuation_expectations_bridge,2026-05-30,author_or_institution,"Expectations Investing Rappaport Mauboussin market implied expectations",en,first_principles,what_it_is,high,extract_bridge,"Critical addition: reverse-engineer price-implied expectations before declaring a long-term thesis attractive."
long_term_integrated_thesis,2026-05-30,contradiction,"why long term investment theses fail product market fit valuation competition macro",en,mixed,where_it_fails,medium,add_stop_rules,"Common failures are lens mismatch, TAM-to-company leap, ignoring valuation, and extrapolating short-term evidence."
long_term_integrated_thesis,2026-05-30,translation,"长期 投资 方法�?消费 产品 产业 公司 估�?预期�?,zh,mixed,translation_search,low,expand_later,"Chinese-language search still undercovered; should be expanded before final adoption."
long_term_integrated_thesis,2026-05-30,asia_practitioner,"Hillhouse long term investment research emerging trends future needs",en_asia,public_buyside_practitioner,how_it_is_used,medium,keep_as_process_prior,"Official Hillhouse sources improve Asian practitioner coverage but remain high-level philosophy."
long_term_integrated_thesis,2026-05-30,zh_institutional,"平安资管 权益投资 基本�?分析 行业研究 草根研究",zh_cn,public_chinese_institutional,how_it_is_used,medium,extract_selectively,"Ping An Asset Management source supports combining bottom-up stock selection top-down industry research financial analysis and grassroots research."
